id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,fcst_greater_than_baseline,last_train_acc,last_train_loss,last_val_acc,last_val_loss,slope_val_acc,var_val_acc,gap_val_acc,p_sigmoid,p_mc,p_above_goal
9,256,"[4323, 8646]",1,[17],"[91, 88, 80, 73, 72, 51, 44, 44, 38, 37, 35, 22, 3]",pyramid,13,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adam.Adam'>,0.000602683458612075,1e-06,,256,False,kaiming_uniform,step,"{'step_size': 10, 'gamma': 0.9}",127125,[1.1877374472564055],[0.1938468656025908],[1.167427012134915],[0.2546026459431955],[],[],0.4046026459431955,1.7472201167952e-05,False,0.1938468656025908,1.1877374472564055,0.2546026459431955,1.167427012134915,0.0,0.0,0.0,9.425194648887283e-09,0.0,2.8275583946661856e-09
3,128,"[4323, 8646]",1,[34],"[100, 92, 90, 80, 70, 68, 61, 56, 51, 50, 46, 46, 45, 43, 41, 33, 24, 22, 16, 16, 5, 3]",pyramid,22,<class 'torch.nn.modules.activation.Tanh'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.00013816103185302256,0.01,,128,False,xavier_normal,none,{},42375,[1.3594085349271123],[0.18551931529030766],[1.313789036946928],[0.09436580627255066],[],[],0.24436580627255067,0.0,False,0.18551931529030766,1.3594085349271123,0.09436580627255066,1.313789036946928,0.0,0.0,0.0,3.8237642190647554e-10,0.0,1.1471292657194268e-10
14,1024,"[4323, 8646]",1,[5],"[4, 5, 24, 30, 32, 34, 41, 53, 62, 68, 69, 74, 79, 85, 86, 87, 89, 95, 96]",triangular,19,<class 'torch.nn.modules.activation.GELU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.06903233505484939,1e-05,0.99,1024,False,kaiming_normal,cosine,{'T_max': 50},197750,[10620.19754935447],[0.4587092297015961],[nan],[0.09436580627255066],[],[],0.24436580627255067,0.0,False,0.4587092297015961,10620.19754935447,0.09436580627255066,,0.0,0.0,0.0,3.8237642190647554e-10,0.0,1.1471292657194268e-10
4,1024,"[4323, 8646, 17292]",2,"[5, 14]","[89, 86, 79, 35, 15, 13, 10]",pyramid,7,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.026084817419894882,0.0001,,1024,True,kaiming_normal,cosine,{'T_max': 100},56500,"[1.0736038677261683, 0.9153190949656416]","[0.4906315058986815, 0.648970622253065]","[0.8630431063886111, 0.8675740360276244]","[0.6510315477842539, 0.6510315477842539]",[],[],0.8010315477842539,0.04262295977565942,False,0.648970622253065,0.9153190949656416,0.6510315477842539,0.8675740360276244,0.0,0.0,0.0,2.6158688931626237e-05,0.0,7.847606679487873e-06
12,128,"[4323, 8646, 17292]",2,"[34, 102]","[72, 62, 62, 72]",hourglass,3,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.00041348319330092163,1e-06,,128,False,kaiming_uniform,cosine,{'T_max': 10},169500,"[1.0475693282886922, 0.9478992264965136]","[0.5308813324080499, 0.6186675919500347]","[0.9250226925994082, 0.8860496340919373]","[0.6330835414932001, 0.6498288463317605]",[],[],0.7998288463317605,0.04124862343531577,False,0.6186675919500347,0.9478992264965136,0.6498288463317605,0.8860496340919373,0.0,0.0,0.0,2.55369904137793e-05,0.0,7.661097124133792e-06
0,512,"[4323, 8646, 17292]",2,"[9, 26]","[68, 65, 64, 54, 48, 41, 36, 8, 36, 41, 48, 54, 64, 65, 68]",hourglass,14,<class 'torch.nn.modules.activation.ELU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0007006700163436125,0.0,0.95,512,True,kaiming_uniform,step,"{'step_size': 5, 'gamma': 0.9}",0,"[1.2168227304277281, 1.0938340343316064]","[0.5574832292389544, 0.5390932222993292]","[0.997988539097631, 0.8961425149999921]","[0.48126561199000834, 0.6275326117124619]",[],[],0.7775326117124619,0.02093916734570771,False,0.5390932222993292,1.0938340343316064,0.6275326117124619,0.8961425149999921,0.0,0.0,0.0,1.6349749722734522e-05,0.0,4.904924916820358e-06
21,512,"[4323, 8646, 17292]",2,"[9, 26]","[87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87]",constant,15,<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.0002119264966723199,0.0001,,512,True,kaiming_uniform,exponential,{'gamma': 0.9},296625,"[6831.724024295917, 3068.02345579784]","[0.4878556557945871, 0.4904001850566736]","[12.486080276082696, 4.581246394918743]","[0.5077250439448607, 0.5842353594227033]",[],[],0.7342353594227033,0.0,False,0.4904001850566736,3068.02345579784,0.5842353594227033,4.581246394918743,0.0,0.0,0.0,6.877651138395011e-06,0.0,2.0632953415185037e-06
6,1024,"[4323, 8646, 17292, 34584]",3,"[5, 14, 31]","[73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73]",constant,22,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.0001431923924022744,0.01,,1024,True,xavier_uniform,exponential,{'gamma': 0.99},84750,"[4556.73055566474, 1798.667650119094, 1012.8010955182265]","[0.4080499653018737, 0.45570205875549386, 0.47935461485079806]","[7.171318937289813, 3.227318591398341, 1.372818730477213]","[0.6510315477842539, 0.6510315477842539, 0.6510315477842539]",[],[],0.8932815477842538,0.08333369326153146,True,0.47935461485079806,1012.8010955182265,0.6510315477842539,1.372818730477213,0.0,0.0,0.0,0.00016551166450207855,1.0,0.7000496534993506
17,1024,"[4323, 8646, 17292, 34584]",3,"[5, 14, 31]","[8, 10, 13, 19, 24, 32, 38, 41, 45, 50, 51, 60, 60, 61, 61, 68, 71, 82, 83, 93, 93]",triangular,21,<class 'torch.nn.modules.activation.GELU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.02680569273344529,0.0001,0.8,1024,True,kaiming_normal,step,"{'step_size': 10, 'gamma': 0.9}",240125,"[4.503823482877205, 0.8830907505308068, 0.8556556627757567]","[0.6030534351145038, 0.6590330788804071, 0.6590330788804071]","[0.9101979815339014, 0.8715561789140217, 0.8514976317616305]","[0.6510315477842539, 0.6510315477842539, 0.6510315477842539]",[],[],0.8932815477842538,0.08333369326153146,True,0.6590330788804071,0.8556556627757567,0.6510315477842539,0.8514976317616305,0.0,0.0,0.0,0.00016551166450207855,1.0,0.7000496534993506
20,1024,"[4323, 8646, 17292, 34584]",3,"[5, 14, 31]","[7, 17, 22, 30, 32, 41, 46, 56, 57, 63, 72, 86, 99]",triangular,13,<class 'torch.nn.modules.activation.GELU'>,0.3,<class 'torch.optim.sgd.SGD'>,0.001156372984008507,0.001,0.8,1024,True,xavier_normal,step,"{'step_size': 5, 'gamma': 0.5}",282500,"[1.0565779642625288, 1.0514238918100605, 1.038836223919745]","[0.6449225075179273, 0.6526717557251909, 0.6589174184594032]","[1.0547575300921452, 1.0468894889963711, 1.0308569339193174]","[0.6510315477842539, 0.6510315477842539, 0.6510315477842539]",[],[],0.8932815477842538,0.08333369326153146,True,0.6589174184594032,1.038836223919745,0.6510315477842539,1.0308569339193174,0.0,0.0,0.0,0.00016551166450207855,1.0,0.7000496534993506
