id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,fcst_greater_than_baseline,slope_val_acc,var_val_acc,gap_val_acc,p_sigmoid,p_mc,p_above_goal,last_train_acc,last_train_loss,last_val_acc,last_val_loss
6,1024,"[4323, 8646, 17292, 34584]",3,"[5, 14, 31]","[73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73]",constant,22,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.0001431923924022744,0.01,,1024,True,xavier_uniform,exponential,{'gamma': 0.99},84750,"[4556.73055566474, 1798.667650119094, 1012.8010955182265]","[0.4080499653018737, 0.45570205875549386, 0.47935461485079806]","[7.171318937289813, 3.227318591398341, 1.372818730477213]","[0.6510315477842539, 0.6510315477842539, 0.6510315477842539]",[],[],0.8932815477842538,0.08333369326153146,True,0.0,0.0,0.0,0.00016551166450207855,1.0,0.7000496534993506,0.47935461485079806,1012.8010955182265,0.6510315477842539,1.372818730477213
17,1024,"[4323, 8646, 17292, 34584]",3,"[5, 14, 31]","[8, 10, 13, 19, 24, 32, 38, 41, 45, 50, 51, 60, 60, 61, 61, 68, 71, 82, 83, 93, 93]",triangular,21,<class 'torch.nn.modules.activation.GELU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.02680569273344529,0.0001,0.8,1024,True,kaiming_normal,step,"{'step_size': 10, 'gamma': 0.9}",240125,"[4.503823482877205, 0.8830907505308068, 0.8556556627757567]","[0.6030534351145038, 0.6590330788804071, 0.6590330788804071]","[0.9101979815339014, 0.8715561789140217, 0.8514976317616305]","[0.6510315477842539, 0.6510315477842539, 0.6510315477842539]",[],[],0.8932815477842538,0.08333369326153146,True,0.0,0.0,0.0,0.00016551166450207855,1.0,0.7000496534993506,0.6590330788804071,0.8556556627757567,0.6510315477842539,0.8514976317616305
20,1024,"[4323, 8646, 17292, 34584]",3,"[5, 14, 31]","[7, 17, 22, 30, 32, 41, 46, 56, 57, 63, 72, 86, 99]",triangular,13,<class 'torch.nn.modules.activation.GELU'>,0.3,<class 'torch.optim.sgd.SGD'>,0.001156372984008507,0.001,0.8,1024,True,xavier_normal,step,"{'step_size': 5, 'gamma': 0.5}",282500,"[1.0565779642625288, 1.0514238918100605, 1.038836223919745]","[0.6449225075179273, 0.6526717557251909, 0.6589174184594032]","[1.0547575300921452, 1.0468894889963711, 1.0308569339193174]","[0.6510315477842539, 0.6510315477842539, 0.6510315477842539]",[],[],0.8932815477842538,0.08333369326153146,True,0.0,0.0,0.0,0.00016551166450207855,1.0,0.7000496534993506,0.6589174184594032,1.038836223919745,0.6510315477842539,1.0308569339193174
15,1024,"[4323, 8646, 17292, 34584]",3,"[5, 14, 31]","[99, 99, 95, 54, 47, 27, 26, 24, 17, 24, 26, 27, 47, 54, 95, 99, 99]",hourglass,16,<class 'torch.nn.modules.activation.GELU'>,0.3,<class 'torch.optim.sgd.SGD'>,0.02579930544955364,1e-05,0.9,1024,True,kaiming_uniform,cosine,{'T_max': 10},211875,"[4.919792974902446, 0.9246006394022734, 0.8887568546367304]","[0.5419847328244275, 0.6531343974092065, 0.649028452463567]","[0.9826865975681865, 0.85141361532296, 0.8558344371125374]","[0.6510315477842539, 0.6510315477842539, 0.6510315477842539]",[],[],0.8932815477842538,0.08333369326153146,True,0.0,0.0,0.0,0.00016551166450207855,1.0,0.7000496534993506,0.649028452463567,0.8887568546367304,0.6510315477842539,0.8558344371125374
10,512,"[4323, 8646, 17292, 34584]",3,"[9, 26, 60]","[7, 34, 50, 52, 53, 58, 64, 68, 69, 69, 71, 75, 76, 88, 88, 89, 97]",inv_pyramid,17,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.007435141295848892,0.01,,512,False,kaiming_uniform,cosine,{'T_max': 50},141250,"[5.155453303884418, 0.8531681017249154, 0.8501874868472141]","[0.5880175803839925, 0.6590330788804071, 0.6590330788804071]","[0.8507051560205782, 0.8533438106107716, 0.8515225287800151]","[0.6510315477842539, 0.6510315477842539, 0.6510315477842539]",[],[],0.8860315477842539,0.08333289555815894,True,0.0,0.0,0.0,0.00014317448228858313,1.0,0.7000429523446865,0.6590330788804071,0.8501874868472141,0.6510315477842539,0.8515225287800151
18,512,"[4323, 8646, 17292, 34584]",3,"[9, 26, 60]","[13, 20, 25, 25, 27, 34, 35, 36, 43, 51, 57, 65, 76, 94]",inv_pyramid,14,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.00020225155654263356,0.0001,0.99,512,False,xavier_uniform,cosine,{'T_max': 50},254250,"[1.0519682706960396, 1.0446603274748, 1.0127491016865549]","[0.6588017580383992, 0.6589174184594032, 0.6590330788804071]","[1.0521220035519452, 1.0381720170181548, 0.9863670042677453]","[0.6510315477842539, 0.6510315477842539, 0.6510315477842539]",[],[],0.8860315477842539,0.08333289555815894,True,0.0,0.0,0.0,0.00014317448228858313,1.0,0.7000429523446865,0.6590330788804071,1.0127491016865549,0.6510315477842539,0.9863670042677453
5,512,"[4323, 8646, 17292, 34584]",3,"[9, 26, 60]","[83, 50, 26, 17]",pyramid,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.020516704633678922,1e-05,,512,True,kaiming_normal,none,{},70625,"[0.9445681292343934, 0.8503929641465746, 0.8243434500727366]","[0.6134628730048577, 0.6590330788804071, 0.6590330788804071]","[0.8713163596781542, 0.8414096040193684, 0.8139957003671087]","[0.6510315477842539, 0.6510315477842539, 0.6510315477842539]",[],[],0.8860315477842539,0.08333289555815894,True,0.0,0.0,0.0,0.00014317448228858313,1.0,0.7000429523446865,0.6590330788804071,0.8243434500727366,0.6510315477842539,0.8139957003671087
8,512,"[4323, 8646, 17292, 34584]",3,"[9, 26, 60]","[90, 78, 68, 57, 56, 48, 40, 34, 28, 27, 16, 16, 27, 28, 34, 40, 48, 56, 57, 68, 78, 90]",hourglass,21,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.rmsprop.RMSprop'>,0.001559044554898602,0.001,,512,False,xavier_normal,step,"{'step_size': 5, 'gamma': 0.1}",113000,"[0.8932454565485236, 0.8490961517637978, 0.8492054776160386]","[0.6088364561647004, 0.6590330788804071, 0.6590330788804071]","[0.8545379906779732, 0.8585991393804043, 0.8514369862054696]","[0.6510315477842539, 0.6510315477842539, 0.6510315477842539]",[],[],0.8860315477842539,0.08333289555815894,True,0.0,0.0,0.0,0.00014317448228858313,1.0,0.7000429523446865,0.6590330788804071,0.8492054776160386,0.6510315477842539,0.8514369862054696
24,512,"[4323, 8646, 17292, 34584]",3,"[9, 26, 60]","[93, 79, 51, 28, 7, 28, 51, 79, 93]",hourglass,8,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.045142268598243634,0.0001,,512,False,xavier_uniform,step,"{'step_size': 10, 'gamma': 0.5}",339000,"[3218027.3573315036, 0.94037942059912, 0.8742954873829122]","[0.6097617395327319, 0.6571825121443442, 0.6581077955123756]","[0.8526990755390246, 0.8507715814957754, 0.8508425616944506]","[0.6510315477842539, 0.6510315477842539, 0.6510315477842539]",[],[],0.8860315477842539,0.08333289555815894,True,0.0,0.0,0.0,0.00014317448228858313,1.0,0.7000429523446865,0.6581077955123756,0.8742954873829122,0.6510315477842539,0.8508425616944506
23,256,"[4323, 8646, 17292, 34584]",3,"[17, 51, 119]","[88, 75, 74, 48, 42, 29, 42, 48, 74, 75, 88]",hourglass,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adamw.AdamW'>,0.0002736146538133412,1e-05,,256,True,kaiming_uniform,none,{},324875,"[0.8988487052470756, 0.8528300210499196, 0.848483747915347]","[0.6590330788804071, 0.6590330788804071, 0.6590330788804071]","[0.868412870368857, 0.8507402588551554, 0.8507499576872202]","[0.6510315477842539, 0.6510315477842539, 0.6510315477842539]",[],[],0.8712815477842539,0.08333158947900383,True,0.0,0.0,0.0,0.00010660182999952113,1.0,0.7000319805489998,0.6590330788804071,0.848483747915347,0.6510315477842539,0.8507499576872202
