id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,fcst_greater_than_baseline,slope_val_acc,var_val_acc,gap_val_acc,p_sigmoid,p_mc,p_above_goal,last_train_acc,last_train_loss,last_val_acc,last_val_loss
2,32,"[2205, 4410, 8820, 17640]",3,"[69, 207, 483]","[55, 11, 11, 55]",hourglass,3,<class 'torch.nn.modules.activation.Tanh'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.0021515234499361693,0.0,,32,False,kaiming_normal,none,{},28250,"[0.3225450309901551, 0.21239590318430038, 0.1864540235373844]","[0.8575963718820862, 0.9183673469387755, 0.9292517006802721]","[0.19575708659259386, 0.19102979152313926, 0.16499285110806944]","[0.9260199456029011, 0.9307343608340889, 0.9363553943789664]",[],[],1.0,0.14326232146825402,True,2.496485211609974e-05,1.7849247831929242e-05,0.007978241160471411,7.885483894690229e-05,1.0,0.7000236564516841,0.9292517006802721,0.1864540235373844,0.9363553943789664,0.16499285110806944
31,32,"[2205, 4410]",1,[69],"[72, 11, 11, 55]",mutated,3,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.00041348319330092163,1e-06,,32,False,kaiming_uniform,cosine,{'T_max': 10},169500,[0.5223814713711641],[0.7614512471655329],[0.3310667048393329],[0.8640072529465095],[],[],1.0,0.14326231715597976,True,0.0,0.0,0.0,7.878460196356616e-05,1.0,0.700023635380589,0.7614512471655329,0.5223814713711641,0.8640072529465095,0.3310667048393329
28,512,"[2205, 4410, 8820]",2,"[5, 14]","[41, 50, 26, 55]",mutated,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.0021515234499361693,0.0,,512,True,kaiming_normal,none,{},70625,"[0.7220637157390447, 0.47968324080886754]","[0.5782312925170068, 0.7793650793650794]","[0.5024910981451935, 0.3180772721497232]","[0.8215775158658205, 0.8761559383499546]",[],[],1.0,0.14326231715597976,True,0.0,0.0,0.0,7.878460196356616e-05,1.0,0.700023635380589,0.7793650793650794,0.47968324080886754,0.8761559383499546,0.3180772721497232
27,32,"[2205, 4410, 8820]",2,"[69, 207]","[83, 11, 11, 55]",mutated,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.020516704633678922,1e-05,,32,True,kaiming_normal,none,{},70625,"[0.3906964665097174, 0.2598843796013975]","[0.8476190476190476, 0.9074829931972789]","[0.20482280122509677, 0.19337252048287518]","[0.9231187669990933, 0.9312783318223028]",[],[],1.0,0.14326231715597976,True,0.0,0.0,0.0,7.878460196356616e-05,1.0,0.700023635380589,0.9074829931972789,0.2598843796013975,0.9312783318223028,0.19337252048287518
5,512,"[2205, 4410, 8820, 17640]",3,"[5, 14, 32]","[83, 50, 26, 17]",pyramid,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.020516704633678922,1e-05,,512,True,kaiming_normal,none,{},70625,"[0.5881239124166182, 0.2773245924454427, 0.18731794464074566]","[0.691609977324263, 0.8866213151927438, 0.9298185941043083]","[0.2861649989919671, 0.2047929665794831, 0.158949487188245]","[0.8649138712601995, 0.9214868540344515, 0.9374433363553943]",[],[],1.0,0.11690352510098923,True,0.002686276485007217,0.00096840389055883,0.044242973708068845,8.830138494149318e-05,0.816,0.5712264904154823,0.9298185941043083,0.18731794464074566,0.9374433363553943,0.158949487188245
11,128,"[2205, 4410, 8820, 17640]",3,"[18, 53, 122]","[99, 97, 97, 96, 95, 93, 92, 86, 78, 71, 69, 64, 61, 60, 55, 50, 46, 35, 30, 23, 17, 7, 7, 6, 5]",pyramid,25,<class 'torch.nn.modules.activation.Tanh'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0655108914701854,0.0,0.95,128,False,xavier_normal,cosine,{'T_max': 50},155375,"[0.6215555715182471, 0.5517802176832342, 0.44654079121526946]","[0.7024943310657596, 0.7444444444444445, 0.7840136054421769]","[0.5996500662641966, 0.5222671916889042, 0.42612988421945064]","[0.71441523118767, 0.7989120580235721, 0.7967361740707162]",[],[],1.0,0.1154704076017153,True,0.0007915475277215975,0.0015467984281629405,0.0400725294650951,7.946209254136386e-05,0.806,0.5642238386277625,0.7840136054421769,0.44654079121526946,0.7967361740707162,0.42612988421945064
12,128,"[2205, 4410, 8820, 17640]",3,"[18, 53, 122]","[72, 62, 62, 72]",hourglass,3,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.00041348319330092163,1e-06,,128,False,kaiming_uniform,cosine,{'T_max': 10},169500,"[0.6846405710492816, 0.4621730549535513, 0.2869628188155946]","[0.6049886621315193, 0.8002267573696145, 0.88140589569161]","[0.4984933686926488, 0.3105096322562839, 0.20220724513259458]","[0.8250226654578422, 0.8864913871260199, 0.9258386219401632]",[],[],1.0,0.10343680551356427,True,0.0009693841969453942,0.001721162856942719,0.07008159564823213,7.988955692611674e-05,0.722,0.5054239668670778,0.88140589569161,0.2869628188155946,0.9258386219401632,0.20220724513259458
4,1024,"[2205, 4410, 8820, 17640]",3,"[3, 8, 17]","[89, 86, 79, 35, 15, 13, 10]",pyramid,7,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.026084817419894882,0.0001,,1024,True,kaiming_normal,cosine,{'T_max': 100},56500,"[0.808443496151576, 0.4739813191009487, 0.3295579726463543]","[0.5705215419501134, 0.7086167800453514, 0.789795918367347]","[0.4848627951073841, 0.34042420480214564, 0.19526638740965807]","[0.71441523118767, 0.71441523118767, 0.9323662737987307]",[],[],1.0,0.08825488902493332,True,0.015567931615075763,0.010556145994499644,0.21795104261106069,0.0001348834333587507,0.616,0.4312404650300076,0.789795918367347,0.3295579726463543,0.9323662737987307,0.19526638740965807
7,32,"[2205, 4410, 8820, 17640]",3,"[69, 207, 483]","[98, 65, 60, 37, 37, 33, 31, 18, 15, 8]",pyramid,10,<class 'torch.nn.modules.activation.Tanh'>,0.5,<class 'torch.optim.adam.Adam'>,0.052164117530572714,1e-05,,32,True,kaiming_uniform,none,{},98875,"[0.6051388646199319, 0.5438790765073565, 0.5431044343647773]","[0.7056689342403628, 0.7077097505668934, 0.7052154195011338]","[0.47063496321412723, 0.3896064160903367, 0.5519257844791343]","[0.71441523118767, 0.8195829555757026, 0.71441523118767]",[],[],0.86441523118767,0.002865455450850402,False,0.0,0.0024578333895460395,-0.05258386219401634,4.98254041519711e-06,0.02,0.014001494762124558,0.7052154195011338,0.5431044343647773,0.71441523118767,0.5519257844791343
17,1024,"[2205, 4410, 8820, 17640]",3,"[3, 8, 17]","[8, 10, 13, 19, 24, 32, 38, 41, 45, 50, 51, 60, 60, 61, 61, 68, 71, 82, 83, 93, 93]",triangular,21,<class 'torch.nn.modules.activation.GELU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.02680569273344529,0.0001,0.8,1024,True,kaiming_normal,step,"{'step_size': 10, 'gamma': 0.9}",240125,"[3.1630385930846336, 0.6357628904502678, 0.5675438374618824]","[0.61859410430839, 0.7138321995464852, 0.7145124716553288]","[0.6679463550272792, 0.6221239871689113, 0.6066957900768394]","[0.71441523118767, 0.71441523118767, 0.71441523118767]",[],[],0.96016523118767,2.1806615299754633e-06,False,0.0,0.0,0.0,3.5518923914284605e-05,0.0,1.0655677174285383e-05,0.7145124716553288,0.5675438374618824,0.71441523118767,0.6066957900768394
