id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,fcst_greater_than_baseline,last_train_acc,last_train_loss,last_val_acc,last_val_loss,slope_val_acc,var_val_acc,gap_val_acc,p_sigmoid,p_mc,p_above_goal
21,512,"[37184, 74368]",1,[73],"[87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87, 87]",constant,15,<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.0002119264966723199,0.0001,,512,True,kaiming_uniform,exponential,{'gamma': 0.9},296625,[3540.8480455723566],[0.3087618330464716],[2.3057793544944833],[0.4586605279576601],[],[],0.6086605279576601,0.002213085235413123,False,0.3087618330464716,3540.8480455723566,0.4586605279576601,2.3057793544944833,0.0,0.0,0.0,4.4275548068529783e-08,0.0,1.3282664420558937e-08
14,1024,"[37184, 74368]",1,[37],"[4, 5, 24, 30, 32, 34, 41, 53, 62, 68, 69, 74, 79, 85, 86, 87, 89, 95, 96]",triangular,19,<class 'torch.nn.modules.activation.GELU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.06903233505484939,1e-05,0.99,1024,False,kaiming_normal,cosine,{'T_max': 50},197750,[nan],[0.36534530981067126],[nan],[0.36111529442137646],[],[],0.5111152944213765,0.000314215202746149,False,0.36534530981067126,,0.36111529442137646,,0.0,0.0,0.0,6.293569008705743e-09,0.0,1.8880707026117234e-09
9,256,"[37184, 74368]",1,[146],"[91, 88, 80, 73, 72, 51, 44, 44, 38, 37, 35, 22, 3]",pyramid,13,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adam.Adam'>,0.000602683458612075,1e-06,,256,False,kaiming_uniform,step,"{'step_size': 10, 'gamma': 0.9}",127125,[2.048058425292706],[0.052388123924268504],[1.8580114706430328],[0.030797530173619327],[],[],0.18079753017361933,0.0,False,0.052388123924268504,2.048058425292706,0.030797530173619327,1.8580114706430328,0.0,0.0,0.0,8.50734273142767e-12,0.0,2.5522028194283012e-12
1,32,"[37184, 74368, 148736]",2,"[1162, 3486]","[28, 23, 17, 17, 23, 28]",hourglass,5,<class 'torch.nn.modules.activation.GELU'>,0.4,<class 'torch.optim.adam.Adam'>,0.03903304514522225,1e-06,,32,True,kaiming_uniform,exponential,{'gamma': 0.99},14125,"[1.2180487161659332, 1.2947045422308212]","[0.47496234939759036, 0.48070406626506024]","[1.151011023283728, 1.1895849470406836]","[0.488543706030421, 0.488543706030421]",[],[],0.638543706030421,0.0011600585067722037,False,0.48070406626506024,1.2947045422308212,0.488543706030421,1.1895849470406836,0.0,0.0,0.0,8.048702312705117e-08,0.0,2.4146106938115354e-08
7,32,"[37184, 74368, 148736]",2,"[1162, 3486]","[98, 65, 60, 37, 37, 33, 31, 18, 15, 8]",pyramid,10,<class 'torch.nn.modules.activation.Tanh'>,0.5,<class 'torch.optim.adam.Adam'>,0.052164117530572714,1e-05,,32,True,kaiming_uniform,none,{},98875,"[1.254691547299006, 1.249280443264367]","[0.4585305507745267, 0.45660768072289154]","[1.2315494297950096, 1.2273843178140023]","[0.48906004604031755, 0.4827133667520062]",[],[],0.6327133667520062,0.0009593164418089147,False,0.45660768072289154,1.249280443264367,0.4827133667520062,1.2273843178140023,0.0,0.0,0.0,7.162822603515478e-08,0.0,2.1488467810546437e-08
11,128,"[37184, 74368, 148736]",2,"[291, 872]","[99, 97, 97, 96, 95, 93, 92, 86, 78, 71, 69, 64, 61, 60, 55, 50, 46, 35, 30, 23, 17, 7, 7, 6, 5]",pyramid,25,<class 'torch.nn.modules.activation.Tanh'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0655108914701854,0.0,0.95,128,False,xavier_normal,cosine,{'T_max': 50},155375,"[1.2122699959963406, 1.168952100248222]","[0.47176204819277107, 0.47883498278829606]","[1.1483085276437774, 1.174236157039406]","[0.488543706030421, 0.46569566059250017]",[],[],0.6156956605925001,0.0004910791682568144,False,0.47883498278829606,1.168952100248222,0.46569566059250017,1.174236157039406,0.0,0.0,0.0,5.096479907469476e-08,0.0,1.528943972240843e-08
6,1024,"[37184, 74368, 148736]",2,"[37, 110]","[73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73]",constant,22,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.0001431923924022744,0.01,,1024,True,xavier_uniform,exponential,{'gamma': 0.99},84750,"[2544.2411002127933, 668.8827041914869]","[0.3256777108433735, 0.3358030335628227]","[1.8840696024598749, 1.598259668573245]","[0.476011703706891, 0.43800692756179943]",[],[],0.5880069275617994,0.0,False,0.3358030335628227,668.8827041914869,0.43800692756179943,1.598259668573245,0.0,0.0,0.0,2.9293353638283874e-08,0.0,8.788006091485164e-09
4,1024,"[37184, 74368, 148736, 297472]",3,"[37, 110, 256]","[89, 86, 79, 35, 15, 13, 10]",pyramid,7,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.026084817419894882,0.0001,,1024,True,kaiming_normal,cosine,{'T_max': 100},56500,"[1.1552345183342951, 0.8742542554097004, 0.7819485358650221]","[0.4976871772805508, 0.6284423407917383, 0.6899069492254734]","[0.8895225773395019, 0.7314371995885791, 0.7086880535572727]","[0.5865622512424431, 0.7156257395494934, 0.7176373141713819]",[],[],1.0,0.9556320488270083,True,0.6899069492254734,0.7819485358650221,0.7176373141713819,0.7086880535572727,0.0005985162690819122,0.003760233618696532,0.06654331877541364,0.0001060632433215712,0.776,0.5432318189729964
5,512,"[37184, 74368, 148736, 297472]",3,"[73, 219, 510]","[83, 50, 26, 17]",pyramid,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.020516704633678922,1e-05,,512,True,kaiming_normal,none,{},70625,"[0.9405293224600629, 0.7283182407820696, 0.6710144794336079]","[0.6038080895008606, 0.6992389199655766, 0.7261456540447504]","[0.7174275075003611, 0.6452861423772598, 0.6021895789012157]","[0.7104193111163701, 0.7310621544286913, 0.750769131473075]",[],[],0.9243833646347404,0.0443437449849517,False,0.7261456540447504,0.6710144794336079,0.750769131473075,0.6021895789012157,9.233368502678459e-05,0.0002713999918959182,0.0300283987005443,2.4441829179847737e-05,0.036,0.02520733254875395
2,32,"[37184, 74368, 148736, 297472]",3,"[1162, 3486, 8134]","[55, 11, 11, 55]",hourglass,3,<class 'torch.nn.modules.activation.Tanh'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.0021515234499361693,0.0,,32,False,kaiming_normal,none,{},28250,"[0.8184910826192665, 0.7254226777747453, 0.6930425162787794]","[0.6635649741824441, 0.7032191265060241, 0.7163497740963856]","[0.6867010203991993, 0.6494169621420297, 0.6254428196470411]","[0.7171424883285643, 0.7353219595103375, 0.7426367763172049]",[],[],0.892636776317205,6.824265060528875e-06,False,0.7163497740963856,0.6930425162787794,0.7426367763172049,0.6254428196470411,3.656667812484311e-06,0.0001148842708238553,0.016404552397753958,1.2936766435537763e-05,0.0,3.881029930661329e-06
