id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,fcst_greater_than_baseline,slope_val_acc,var_val_acc,gap_val_acc,p_sigmoid,p_mc,p_above_goal,last_train_acc,last_train_loss,last_val_acc,last_val_loss
5,512,"[54, 108, 216, 432]",3,"[1, 2, 3]","[83, 50, 26, 17]",pyramid,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.020516704633678922,1e-05,,512,True,kaiming_normal,none,{},70625,"[1.4919708967208862, 1.4895230531692505, 1.2626124620437622]","[0.2037037037037037, 0.3148148148148148, 0.4351851851851852]","[1.387192964553833, 1.2556835412979126, 1.2288182973861694]","[0.4338235294117647, 0.4852941176470588, 0.5294117647058824]",[],[],1.0,0.20057968434872397,True,0.04779411764705882,0.0015258554402153015,0.06985294117647056,0.007797894737023815,1.0,0.7023393684211071,0.4351851851851852,1.2626124620437622,0.5294117647058824,1.2288182973861694
4,1024,"[54, 108, 216, 432]",3,"[1, 2, 3]","[89, 86, 79, 35, 15, 13, 10]",pyramid,7,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.026084817419894882,0.0001,,1024,True,kaiming_normal,cosine,{'T_max': 100},56500,"[1.5488003492355347, 1.447632908821106, 1.3952264785766602]","[0.2222222222222222, 0.24074074074074073, 0.27314814814814814]","[1.3875572681427002, 1.3893173933029175, 1.3741707801818848]","[0.3014705882352941, 0.3014705882352941, 0.3382352941176471]",[],[],1.0,0.20010933476552245,True,0.01838235294117649,0.000300365244136871,0.03676470588235298,0.0023080561203175326,1.0,0.7006924168360952,0.27314814814814814,1.3952264785766602,0.3382352941176471,1.3741707801818848
12,128,"[54, 108, 216, 432]",3,"[1, 2, 4]","[72, 62, 62, 72]",hourglass,3,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.00041348319330092163,1e-06,,128,False,kaiming_uniform,cosine,{'T_max': 10},169500,"[1.5096464157104492, 1.5512772798538208, 1.4815133236072682]","[0.3333333333333333, 0.32407407407407407, 0.28703703703703703]","[1.3829696809544283, 1.3713526936138378, 1.3485032109653248]","[0.29411764705882354, 0.3014705882352941, 0.3235294117647059]",[],[],1.0,0.20004465609702068,True,0.009803921568627453,0.0001561899269511728,0.02573529411764708,0.001553137938821013,1.0,0.7004659413816463,0.28703703703703703,1.4815133236072682,0.3235294117647059,1.3485032109653248
10,512,"[54, 108, 216, 432]",3,"[1, 2, 3]","[7, 34, 50, 52, 53, 58, 64, 68, 69, 69, 71, 75, 76, 88, 88, 89, 97]",inv_pyramid,17,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.007435141295848892,0.01,,512,False,kaiming_uniform,cosine,{'T_max': 50},141250,"[20.689708709716797, 585.6285400390625, 4.2467122077941895]","[0.24074074074074073, 0.26851851851851855, 0.25462962962962965]","[44.964115142822266, 1.4569885730743408, 1.3916878700256348]","[0.25, 0.25735294117647056, 0.25735294117647056]",[],[],1.0,0.20001086466328263,True,0.003676470588235281,1.2014609765474731e-05,0.003676470588235281,0.001158730195146274,1.0,0.7003476190585438,0.25462962962962965,4.2467122077941895,0.25735294117647056,1.3916878700256348
2,32,"[54, 108, 216, 432]",3,"[2, 6, 13]","[55, 11, 11, 55]",hourglass,3,<class 'torch.nn.modules.activation.Tanh'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.0021515234499361693,0.0,,32,False,kaiming_normal,none,{},28250,"[1.470870397709034, 1.3902020940074213, 1.2901609164697152]","[0.2037037037037037, 0.25925925925925924, 0.35648148148148145]","[1.347954644876368, 1.2602649155785055, 1.1897124262417065]","[0.29411764705882354, 0.3602941176470588, 0.4338235294117647]",[],[],1.0,0.1992553437819007,True,0.01270053475935829,0.003255959246443676,0.10661764705882354,0.001673755065003835,0.996,0.697702126519501,0.35648148148148145,1.2901609164697152,0.4338235294117647,1.1897124262417065
13,32,"[54, 108, 216, 432]",3,"[2, 6, 13]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",constant,17,<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.sgd.SGD'>,0.03863077527237173,0.0,0.99,32,True,kaiming_uniform,cosine,{'T_max': 50},183625,"[1.4332798675254539, 1.420208387904697, 1.48619634575314]","[0.2962962962962963, 0.2222222222222222, 0.19444444444444445]","[1.4138524812810562, 1.3896361799801098, 1.4473966430215275]","[0.25735294117647056, 0.25, 0.25735294117647056]",[],[],0.6194176154332697,4.089043370659469e-08,False,0.0,1.2014609765474731e-05,0.003676470588235281,4.782835775982376e-07,0.0,1.434850732794713e-07,0.19444444444444445,1.48619634575314,0.25735294117647056,1.4473966430215275
0,512,"[54, 108, 216, 432]",3,"[1, 2, 3]","[68, 65, 64, 54, 48, 41, 36, 8, 36, 41, 48, 54, 64, 65, 68]",hourglass,14,<class 'torch.nn.modules.activation.ELU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0007006700163436125,0.0,0.95,512,True,kaiming_uniform,step,"{'step_size': 5, 'gamma': 0.9}",0,"[1.6326844692230225, 1.806415319442749, 1.818202018737793]","[0.37037037037037035, 0.26851851851851855, 0.2638888888888889]","[1.438481092453003, 1.435567021369934, 1.4321568012237549]","[0.3382352941176471, 0.34558823529411764, 0.3382352941176471]",[],[],0.5899362745098036,2.2636315653018482e-08,False,0.0,1.2014609765474731e-05,-0.003676470588235281,2.6522468314291927e-07,0.0,7.95674049428758e-08,0.2638888888888889,1.818202018737793,0.3382352941176471,1.4321568012237549
31,32,"[54, 108]",1,[2],"[83, 11, 11, 55]",mutated,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.020516704633678922,1e-05,,32,True,kaiming_normal,none,{},70625,[1.9295274107544511],[0.3148148148148148],[1.2849520374746883],[0.39705882352941174],[],[],0.5470588235294117,9.554458746449453e-09,False,0.0,0.0,0.0,1.1253552216807726e-07,0.0,3.376065665042318e-08,0.3148148148148148,1.9295274107544511,0.39705882352941174,1.2849520374746883
9,256,"[54, 108, 216, 432]",3,"[1, 2, 3]","[91, 88, 80, 73, 72, 51, 44, 44, 38, 37, 35, 22, 3]",pyramid,13,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adam.Adam'>,0.000602683458612075,1e-06,,256,False,kaiming_uniform,step,"{'step_size': 10, 'gamma': 0.9}",127125,"[1.4379557371139526, 1.4282941818237305, 1.450132966041565]","[0.2962962962962963, 0.3055555555555556, 0.21296296296296297]","[1.4370851516723633, 1.4359610080718994, 1.434855580329895]","[0.25735294117647056, 0.25735294117647056, 0.25735294117647056]",[],[],0.5066029411764705,4.205768436593468e-09,False,0.0,0.0,0.0,5.0106538151589475e-08,0.0,1.5031961445476844e-08,0.21296296296296297,1.450132966041565,0.25735294117647056,1.434855580329895
24,512,"[54, 108, 216, 432]",3,"[1, 2, 3]","[93, 79, 51, 28, 7, 28, 51, 79, 93]",hourglass,8,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.045142268598243634,0.0001,,512,False,xavier_uniform,step,"{'step_size': 10, 'gamma': 0.5}",339000,"[1.3895827531814575, 587898.9375, 34845.98046875]","[0.2962962962962963, 0.28703703703703703, 0.25925925925925924]","[159591.875, 204.903564453125, 4.659756660461426]","[0.25735294117647056, 0.25735294117647056, 0.25735294117647056]",[],[],0.5066029411764705,4.205768436593468e-09,False,0.0,0.0,0.0,5.0106538151589475e-08,0.0,1.5031961445476844e-08,0.25925925925925924,34845.98046875,0.25735294117647056,4.659756660461426
