id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,fcst_greater_than_baseline,slope_val_acc,var_val_acc,gap_val_acc,p_sigmoid,p_mc,p_above_goal,last_train_acc,last_train_loss,last_val_acc,last_val_loss
17,1024,"[346, 692, 1384, 2768, 5536, 6934, 6934, 6934, 6934]",8,"[1, 2, 4, 7, 11, 15, 19, 23]","[8, 10, 13, 19, 24, 32, 38, 41, 45, 50, 51, 60, 60, 61, 61, 68, 71, 82, 83, 93, 93]",triangular,21,<class 'torch.nn.modules.activation.GELU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.02680569273344529,0.0001,0.8,1024,True,kaiming_normal,step,"{'step_size': 10, 'gamma': 0.9}",240125,"[1.5318843126296997, 3.40061354637146, 0.8361100154805046, 0.7171257224386138, 0.6865126549733418, 0.6754640648369834, 0.6626728817644331, 0.6508651970269738]","[0.5404624277456648, 0.5086705202312138, 0.5332369942196532, 0.5596098265895953, 0.5979232766080185, 0.596769541390251, 0.5976348428035766, 0.6114796654167869]","[1.4098390340805054, 0.6978328227996826, 0.6933550238609314, 0.6898693442344666, 0.6862531900405884, 0.6844699382781982, 0.67987459897995, 0.677503764629364]","[0.5224913494809689, 0.552479815455594, 0.5513264129181085, 0.6205305651672434, 0.5916955017301038, 0.5743944636678201, 0.5870818915801614, 0.5893886966551326]",[],[],1.0,0.06366024299816805,True,0.0030407885079165335,0.0008144782948799296,0.017960125226561208,0.011026178907878279,1.0,0.7033078536723635,0.6114796654167869,0.6508651970269738,0.5893886966551326,0.677503764629364
5,512,"[346, 692, 1384, 2768, 5536, 6934, 6934, 6934, 6934]",8,"[1, 3, 6, 12, 19, 26, 33, 40]","[83, 50, 26, 17]",pyramid,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.020516704633678922,1e-05,,512,True,kaiming_normal,none,{},70625,"[0.7708228826522827, 0.7376281109159393, 0.7146200244826388, 0.6570747735872434, 0.618901190941362, 0.5726764037590533, 0.5283136813070508, 0.471918470480616]","[0.5173410404624278, 0.6026011560693642, 0.6148843930635838, 0.631864161849711, 0.6596481107585809, 0.7144505336025382, 0.7381021055667725, 0.7655033169887511]","[0.6060187987115282, 0.644116452477245, 0.6169575387493824, 0.6086878568243403, 0.5724713523220163, 0.5770211279598487, 0.5605676169351448, 0.5759061747493766]","[0.6735870818915801, 0.6043829296424452, 0.6770472895040369, 0.6931949250288351, 0.7104959630911188, 0.7243367935409458, 0.7174163783160323, 0.7358708189158016]",[],[],1.0,0.06363593800496009,True,0.001597018898056962,0.0015248992601993652,0.050090624485088164,0.010131122200424184,1.0,0.7030393366601272,0.7655033169887511,0.471918470480616,0.7358708189158016,0.5759061747493766
12,128,"[346, 692, 1384, 2768, 5536, 6934, 6934, 6934, 6934]",8,"[3, 9, 20, 42, 70, 98, 126, 154]","[72, 62, 62, 72]",hourglass,3,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.00041348319330092163,1e-06,,128,False,kaiming_uniform,cosine,{'T_max': 10},169500,"[0.7363247016950839, 0.697675892383377, 0.6509818307237129, 0.6279022693634033, 0.6043378030631464, 0.4767664259969586, 0.37139851074501384, 0.2744792714534488]","[0.569364161849711, 0.5823699421965318, 0.630057803468208, 0.6557080924855492, 0.6893567926160946, 0.7885780213441015, 0.8546293625612922, 0.9117392558407845]","[0.6714706148655769, 0.6401494142643446, 0.6109734992254977, 0.5963320441312031, 0.5857280158666591, 0.5790225954891763, 0.5920767720182875, 0.6251497687352983]","[0.5940023068050749, 0.6332179930795848, 0.6643598615916955, 0.671280276816609, 0.6874279123414071, 0.6943483275663207, 0.7035755478662054, 0.7093425605536332]",[],[],1.0,0.06362584621702998,True,0.0007638427400566773,0.0013416244949706602,0.0453122425440764,0.009759481591444274,1.0,0.7029278444774333,0.9117392558407845,0.2744792714534488,0.7093425605536332,0.6251497687352983
38,32,"[346, 692, 1384, 2768, 5536]",4,"[11, 33, 77, 164]","[73, 88, 4, 34, 37, 5, 78]",irregular,7,<class 'torch.nn.modules.activation.Tanh'>,0.4,<class 'torch.optim.adamw.AdamW'>,0.0017786103091322254,0.01,,32,True,xavier_uniform,step,"{'step_size': 30, 'gamma': 0.1}",14129,"[0.7059203131350479, 0.6957136619986827, 0.6613358731214711, 0.6298197173658823]","[0.48265895953757226, 0.5289017341040463, 0.6141618497109826, 0.6741329479768786]","[0.6859142313504026, 0.6661858456220043, 0.6185116038465445, 0.5999769693221187]","[0.5905420991926182, 0.6551326412918108, 0.6874279123414071, 0.707035755478662]",[],[],1.0,0.06362262396849619,True,0.0007613964463140118,0.0019531847612509947,0.06266820453671662,0.00964081893070731,1.0,0.7028922456792122,0.6741329479768786,0.6298197173658823,0.707035755478662,0.5999769693221187
11,128,"[346, 692, 1384, 2768, 5536, 6934, 6934, 6934, 6934]",8,"[3, 9, 20, 42, 70, 98, 126, 154]","[99, 97, 97, 96, 95, 93, 92, 86, 78, 71, 69, 64, 61, 60, 55, 50, 46, 35, 30, 23, 17, 7, 7, 6, 5]",pyramid,25,<class 'torch.nn.modules.activation.Tanh'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0655108914701854,0.0,0.95,128,False,xavier_normal,cosine,{'T_max': 50},155375,"[0.6963563802614378, 0.6923969846240358, 0.6710482708291511, 0.6459429570705215, 0.6560231682406332, 0.6656733849807125, 0.6712481362832737, 0.6687410446832116]","[0.523121387283237, 0.5216763005780347, 0.5838150289017341, 0.6734104046242775, 0.6446495529276031, 0.6325353331410442, 0.6083068935679261, 0.6189789443322757]","[0.6903726973473132, 0.6768719358702707, 0.6244896294198922, 0.6567830732811969, 0.6161233988325213, 0.6675279897389528, 0.6852892533443103, 0.6770872832582071]","[0.5282583621683967, 0.635524798154556, 0.6978085351787774, 0.6309111880046137, 0.6920415224913494, 0.6332179930795848, 0.4809688581314879, 0.6447520184544406]",[],[],1.0,0.06360734740801773,True,0.0007714811674572444,0.005012960812250812,0.03064755313890266,0.009078243668657143,1.0,0.7027234731005971,0.6189789443322757,0.6687410446832116,0.6447520184544406,0.6770872832582071
15,1024,"[346, 692, 1384, 2768, 5536, 6934, 6934, 6934, 6934]",8,"[1, 2, 4, 7, 11, 15, 19, 23]","[99, 99, 95, 54, 47, 27, 26, 24, 17, 24, 26, 27, 47, 54, 95, 99, 99]",hourglass,16,<class 'torch.nn.modules.activation.GELU'>,0.3,<class 'torch.optim.sgd.SGD'>,0.02579930544955364,1e-05,0.9,1024,True,kaiming_uniform,cosine,{'T_max': 10},211875,"[3.256904125213623, 3.9728643894195557, 16.270552915644785, 0.7623954249944301, 0.7296202942827851, 0.7161748868985172, 0.7217656571685598, 0.7172835385520898]","[0.5317919075144508, 0.49421965317919075, 0.49277456647398843, 0.5177023121387283, 0.5232189212575714, 0.5148543409287568, 0.5128353042976637, 0.5252379578886646]","[0.7018521428108215, 0.6976099014282227, 0.7133299112319946, 0.7311381101608276, 0.706166684627533, 0.6921114921569824, 0.6957375407218933, 0.7122248411178589]","[0.4809688581314879, 0.48788927335640137, 0.4809688581314879, 0.4809688581314879, 0.4809688581314879, 0.5190311418685121, 0.4809688581314879, 0.4809688581314879]",[],[],0.993858821856916,0.06359215504358538,True,0.0,0.00015546239867817653,-0.006426099851705391,0.008518769013762154,1.0,0.7025556307041286,0.5252379578886646,0.7172835385520898,0.4809688581314879,0.7122248411178589
31,32,"[346, 692, 1384, 2768, 5536, 6934, 6934]",6,"[11, 33, 77, 164, 273, 382]","[99, 11, 11, 55]",mutated,25,<class 'torch.nn.modules.activation.Tanh'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0655108914701854,0.0,0.95,32,False,xavier_normal,cosine,{'T_max': 50},155375,"[0.668742280474977, 0.5793623335099634, 0.580245606816573, 0.5908785772461422, 0.5615161863293467, 0.5228284648457074]","[0.6098265895953757, 0.7239884393063584, 0.721820809248555, 0.7272398843930635, 0.7355062013267955, 0.7605999423132391]","[0.6123483964900519, 0.5926447791899226, 0.6530454723033388, 0.6117322565053162, 0.5786094266616212, 0.6195543008967117]","[0.6828143021914648, 0.7104959630911188, 0.7312572087658593, 0.7012687427912342, 0.7139561707035755, 0.7220299884659747]",[],[],0.9284512360919392,0.06342398172297026,True,0.00010570265842185953,0.00023787172029330746,0.014071510957324063,0.0023256111986780766,1.0,0.7006976833596034,0.7605999423132391,0.5228284648457074,0.7220299884659747,0.6195543008967117
2,32,"[346, 692, 1384, 2768, 5536, 6934, 6934, 6934, 6934]",8,"[11, 33, 77, 164, 273, 382, 491, 600]","[55, 11, 11, 55]",hourglass,3,<class 'torch.nn.modules.activation.Tanh'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.0021515234499361693,0.0,,32,False,kaiming_normal,none,{},28250,"[0.6479189306325306, 0.5852927851539127, 0.5647234200053133, 0.5743830252244982, 0.5458439892501215, 0.45085027908467407, 0.39193153394671454, 0.32418674986593515]","[0.6242774566473989, 0.7095375722543352, 0.7189306358381503, 0.7210982658959537, 0.74387078165561, 0.8079030862417075, 0.8471300836458033, 0.8785693683299682]","[0.6012577471573598, 0.5839957942737153, 0.6033161601530777, 0.5674542067647668, 0.5525737862685972, 0.5721330054216044, 0.599570306114672, 0.6519841938832777]","[0.6908881199538639, 0.720876585928489, 0.7116493656286044, 0.7185697808535179, 0.7254901960784313, 0.740484429065744, 0.7231833910034602, 0.7312572087658593]",[],[],0.8812572087658593,0.06338541726848107,True,6.853835112393109e-05,0.00018824274400716271,0.012522656121272013,0.0009054349672125568,1.0,0.7002716304901637,0.8785693683299682,0.32418674986593515,0.7312572087658593,0.6519841938832777
27,32,"[346, 692, 1384, 2768, 5536, 6934, 6934, 6934]",7,"[11, 33, 77, 164, 273, 382, 491]","[98, 11, 11, 55]",mutated,10,<class 'torch.nn.modules.activation.Tanh'>,0.5,<class 'torch.optim.adam.Adam'>,0.052164117530572714,1e-05,,32,True,kaiming_uniform,none,{},98875,"[0.9394191231341721, 0.9043589647794734, 0.8269880948039149, 0.8792579628828633, 0.8482362965118104, 0.848941138198474, 0.830179719990944]","[0.49710982658959535, 0.5404624277456648, 0.5469653179190751, 0.5390173410404624, 0.5318719353908278, 0.5350447072396884, 0.5413902509374099]","[0.8840905273249405, 0.6681046678395695, 0.6773415153551816, 0.655772811126269, 0.64032582562275, 0.8588959521075846, 0.8314891128941528]","[0.615916955017301, 0.6482122260668973, 0.6632064590542099, 0.6678200692041523, 0.6378316032295271, 0.6136101499423299, 0.6320645905420992]",[],[],0.7820645905420992,0.0633641952899126,True,3.364090734332946e-05,0.0003891101185708019,-0.009034986543637102,0.00012391348721723194,1.0,0.7000371740461652,0.5413902509374099,0.830179719990944,0.6320645905420992,0.8314891128941528
6,1024,"[346, 692, 1384, 2768, 5536, 6934, 6934, 6934, 6934]",8,"[1, 2, 4, 7, 11, 15, 19, 23]","[73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73]",constant,22,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.0001431923924022744,0.01,,1024,True,xavier_uniform,exponential,{'gamma': 0.99},84750,"[9489.9951171875, 6389.416015625, 4608.895152185693, 3083.135091616239, 2408.9115720121185, 1511.0283456983366, 1098.0199454158742, 865.9549693109531]","[0.49421965317919075, 0.48265895953757226, 0.4913294797687861, 0.5057803468208093, 0.4981251802711278, 0.5206230170175945, 0.5474473608306893, 0.5650418229016441]","[15.265115737915039, 3.5975334644317627, 7.957038402557373, 5.529290199279785, 2.6836981773376465, 2.3621273040771484, 2.096220016479492, 1.9015982151031494]","[0.5190311418685121, 0.5317185697808535, 0.5190311418685121, 0.5178777393310265, 0.5132641291810842, 0.5178777393310265, 0.5178777393310265, 0.5213379469434832]",[],[],0.7747401974048984,0.06336376851665688,True,0.00010485477613505287,2.492303998063025e-05,0.0018124897017630648,0.00010819711725899366,1.0,0.7000324591351776,0.5650418229016441,865.9549693109531,0.5213379469434832,1.9015982151031494
