id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,fcst_greater_than_baseline,last_train_acc,last_train_loss,last_val_acc,last_val_loss,slope_val_acc,var_val_acc,gap_val_acc,p_sigmoid,p_mc,p_above_goal
6,1024,"[190, 380]",1,[1],"[73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73, 73]",constant,22,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.0001431923924022744,0.01,,1024,True,xavier_uniform,exponential,{'gamma': 0.99},84750,[13971.1748046875],[0.4842105263157895],[55.94065475463867],[0.4665271966527197],[],[],0.6165271966527197,1.0403557504705211e-07,False,0.4842105263157895,13971.1748046875,0.4665271966527197,55.94065475463867,0.0,0.0,0.0,6.908336235361635e-07,0.0,2.0725008706084908e-07
7,32,"[190, 380]",1,[6],"[98, 65, 60, 37, 37, 33, 31, 18, 15, 8]",pyramid,10,<class 'torch.nn.modules.activation.Tanh'>,0.5,<class 'torch.optim.adam.Adam'>,0.052164117530572714,1e-05,,32,True,kaiming_uniform,none,{},98875,[0.7587230155342504],[0.45263157894736844],[0.7643375531400098],[0.4351464435146444],[],[],0.5851464435146444,3.5034487385560875e-08,False,0.45263157894736844,0.7587230155342504,0.4351464435146444,0.7643375531400098,0.0,0.0,0.0,3.6881103153338677e-07,0.0,1.1064330946001605e-07
14,1024,"[190, 380]",1,[1],"[4, 5, 24, 30, 32, 34, 41, 53, 62, 68, 69, 74, 79, 85, 86, 87, 89, 95, 96]",triangular,19,<class 'torch.nn.modules.activation.GELU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.06903233505484939,1e-05,0.99,1024,False,kaiming_normal,cosine,{'T_max': 50},197750,[44.976898193359375],[0.48947368421052634],[18641.0],[0.40585774058577406],[],[],0.5558577405857741,0.0,False,0.48947368421052634,44.976898193359375,0.40585774058577406,18641.0,0.0,0.0,0.0,2.053078633987894e-07,0.0,6.159235901963682e-08
8,512,"[190, 380, 760]",2,"[1, 2]","[90, 78, 68, 57, 56, 48, 40, 34, 28, 27, 16, 16, 27, 28, 34, 40, 48, 56, 57, 68, 78, 90]",hourglass,21,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.rmsprop.RMSprop'>,0.001559044554898602,0.001,,512,False,xavier_normal,step,"{'step_size': 5, 'gamma': 0.1}",113000,"[0.7034051418304443, 1.1483988761901855]","[0.5052631578947369, 0.49736842105263157]","[1.0882275104522705, 0.7062975764274597]","[0.5334728033472803, 0.4665271966527197]",[],[],0.6165271966527197,0.0,False,0.49736842105263157,1.1483988761901855,0.4665271966527197,0.7062975764274597,0.0,0.0,0.0,6.908336235361635e-07,0.0,2.0725008706084908e-07
9,256,"[190, 380, 760]",2,"[1, 3]","[91, 88, 80, 73, 72, 51, 44, 44, 38, 37, 35, 22, 3]",pyramid,13,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adam.Adam'>,0.000602683458612075,1e-06,,256,False,kaiming_uniform,step,"{'step_size': 10, 'gamma': 0.9}",127125,"[0.6959936022758484, 0.6949495635534587]","[0.5052631578947369, 0.5157894736842106]","[0.6979843076302915, 0.6973185930790762]","[0.4665271966527197, 0.4665271966527197]",[],[],0.6165271966527197,0.0,False,0.5157894736842106,0.6949495635534587,0.4665271966527197,0.6973185930790762,0.0,0.0,0.0,6.908336235361635e-07,0.0,2.0725008706084908e-07
10,512,"[190, 380, 760]",2,"[1, 2]","[7, 34, 50, 52, 53, 58, 64, 68, 69, 69, 71, 75, 76, 88, 88, 89, 97]",inv_pyramid,17,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.007435141295848892,0.01,,512,False,kaiming_uniform,cosine,{'T_max': 50},141250,"[19.066518783569336, 100.0126724243164]","[0.5473684210526316, 0.49736842105263157]","[4.733222961425781, 0.7167777419090271]","[0.5334728033472803, 0.4665271966527197]",[],[],0.6165271966527197,0.0,False,0.49736842105263157,100.0126724243164,0.4665271966527197,0.7167777419090271,0.0,0.0,0.0,6.908336235361635e-07,0.0,2.0725008706084908e-07
11,128,"[190, 380, 760]",2,"[2, 5]","[99, 97, 97, 96, 95, 93, 92, 86, 78, 71, 69, 64, 61, 60, 55, 50, 46, 35, 30, 23, 17, 7, 7, 6, 5]",pyramid,25,<class 'torch.nn.modules.activation.Tanh'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0655108914701854,0.0,0.95,128,False,xavier_normal,cosine,{'T_max': 50},155375,"[0.7046169450408534, 0.7022720418478313]","[0.5052631578947369, 0.49736842105263157]","[0.7137264090601869, 0.6992709152868103]","[0.4665271966527197, 0.4665271966527197]",[],[],0.6165271966527197,0.0,False,0.49736842105263157,0.7022720418478313,0.4665271966527197,0.6992709152868103,0.0,0.0,0.0,6.908336235361635e-07,0.0,2.0725008706084908e-07
4,1024,"[190, 380, 760, 1520]",3,"[1, 2, 3]","[89, 86, 79, 35, 15, 13, 10]",pyramid,7,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.026084817419894882,0.0001,,1024,True,kaiming_normal,cosine,{'T_max': 100},56500,"[0.7552543878555298, 0.6921181678771973, 0.6333025693893433]","[0.5105263157894737, 0.5394736842105263, 0.6394736842105263]","[0.663745641708374, 0.5950757265090942, 0.521055281162262]","[0.6150627615062761, 0.7426778242677824, 0.7719665271966527]",[],[],1.0,0.12624849263933174,True,0.6394736842105263,0.6333025693893433,0.7719665271966527,0.521055281162262,0.07845188284518828,0.0046402471167443764,0.09309623430962344,0.03343951280024526,0.998,0.7086318538400735
5,512,"[190, 380, 760, 1520]",3,"[1, 2, 4]","[83, 50, 26, 17]",pyramid,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.020516704633678922,1e-05,,512,True,kaiming_normal,none,{},70625,"[0.7818524837493896, 0.6459429264068604, 0.6024116346710606]","[0.4631578947368421, 0.631578947368421, 0.7210526315789474]","[0.6548444032669067, 0.5958141684532166, 0.5069490075111389]","[0.6882845188284519, 0.7447698744769874, 0.7447698744769874]",[],[],1.0,0.12490146281261656,True,0.7210526315789474,0.6024116346710606,0.7447698744769874,0.5069490075111389,0.01882845188284517,0.0007090212006092318,0.028242677824267814,0.003569958552652578,1.0,0.7010709875657958
12,128,"[190, 380, 760, 1520]",3,"[2, 5, 11]","[72, 62, 62, 72]",hourglass,3,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.00041348319330092163,1e-06,,128,False,kaiming_uniform,cosine,{'T_max': 10},169500,"[0.7804707916159379, 0.7272759926946539, 0.7326436438058552]","[0.5052631578947369, 0.5657894736842105, 0.5526315789473685]","[0.7089681857300603, 0.6971089882331912, 0.6791183295110279]","[0.5209205020920502, 0.5564853556485355, 0.6213389121338913]",[],[],1.0,0.12484177911389581,True,0.5526315789473685,0.7326436438058552,0.6213389121338913,0.6791183295110279,0.011157601115760116,0.0017282999636249773,0.08263598326359833,0.002453278343023722,1.0,0.7007359835029071
1,32,"[190, 380, 760, 1520]",3,"[6, 18, 42]","[28, 23, 17, 17, 23, 28]",hourglass,5,<class 'torch.nn.modules.activation.GELU'>,0.4,<class 'torch.optim.adam.Adam'>,0.03903304514522225,1e-06,,32,True,kaiming_uniform,exponential,{'gamma': 0.99},14125,"[1.3009092293287579, 0.8377287563524748, 0.7690533343114351]","[0.5, 0.49736842105263157, 0.5684210526315789]","[0.7079955414249308, 0.721009419054167, 0.6833313935471379]","[0.5460251046025104, 0.5355648535564853, 0.6338912133891214]",[],[],1.0,0.12479640004551071,True,0.5684210526315789,0.7690533343114351,0.6338912133891214,0.6833313935471379,0.002440725244072526,0.00194421588479816,0.09309623430962344,0.0016042373371344405,1.0,0.7004812712011403
2,32,"[190, 380, 760, 1520]",3,"[6, 18, 42]","[55, 11, 11, 55]",hourglass,3,<class 'torch.nn.modules.activation.Tanh'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.0021515234499361693,0.0,,32,False,kaiming_normal,none,{},28250,"[0.6676371662240279, 0.6008742661852585, 0.51422539510225]","[0.5947368421052631, 0.6973684210526315, 0.7644736842105263]","[0.5807558682174363, 0.5090296472964426, 0.4774826778776975]","[0.7364016736401674, 0.7677824267782427, 0.7782426778242678]",[],[],1.0,0.12479380446054596,True,0.7644736842105263,0.51422539510225,0.7782426778242678,0.4774826778776975,0.0011622501162250115,0.0003160931278436224,0.026150627615062816,0.0015556740204388589,1.0,0.7004667022061316
28,32,"[190, 380, 760]",2,"[6, 18]","[27, 11, 11, 17]",mutated,3,<class 'torch.nn.modules.activation.Tanh'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.020516704633678922,1e-05,,32,False,kaiming_normal,none,{},28250,"[0.6849670516817193, 0.5943168715426796]","[0.5684210526315789, 0.7]","[0.5622166872772711, 0.4938562326600861]","[0.7510460251046025, 0.7677824267782427]",[],[],0.9177824267782427,0.12472592790196063,True,0.7,0.5943168715426796,0.7677824267782427,0.4938562326600861,0.0,0.0,0.0,0.00028570564893108414,1.0,0.7000857116946793
27,32,"[190, 380, 760]",2,"[6, 18]","[83, 11, 11, 55]",mutated,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.020516704633678922,1e-05,,32,True,kaiming_normal,none,{},70625,"[0.9184535904934532, 0.6480757631753621]","[0.531578947368421, 0.6263157894736842]","[0.5612774392800352, 0.5042841100293722]","[0.7301255230125523, 0.7426778242677824]",[],[],0.8926778242677824,0.1247199012198069,True,0.6263157894736842,0.6480757631753621,0.7426778242677824,0.5042841100293722,0.0,0.0,0.0,0.0001729466069309212,1.0,0.7000518839820792
31,32,"[190, 380]",1,[6],"[83, 11, 11, 55]",mutated,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.020516704633678922,1e-05,,32,True,kaiming_normal,none,{},70625,[0.9184535904934532],[0.531578947368421],[0.5612774392800352],[0.7301255230125523],[],[],0.8801255230125523,0.12471784930324174,True,0.531578947368421,0.9184535904934532,0.7301255230125523,0.5612774392800352,0.0,0.0,0.0,0.00013455530965457443,1.0,0.7000403665928964
24,512,"[190, 380, 760, 1520]",3,"[1, 2, 4]","[93, 79, 51, 28, 7, 28, 51, 79, 93]",hourglass,8,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.045142268598243634,0.0001,,512,False,xavier_uniform,step,"{'step_size': 10, 'gamma': 0.5}",339000,"[0.716583788394928, 215330.90625, 16206.68446012798]","[0.4368421052631579, 0.4868421052631579, 0.4986842105263158]","[11052.703125, 764.7678833007812, 55.46339416503906]","[0.4665271966527197, 0.5334728033472803, 0.4665271966527197]",[],[],0.7155271966527197,0.0002496474169256725,False,0.4986842105263158,16206.68446012798,0.4665271966527197,55.46339416503906,0.0,0.000995936501267289,-0.03347280334728031,4.904829850309822e-06,0.002,0.001401471448955093
18,512,"[190, 380, 760, 1520]",3,"[1, 2, 4]","[13, 20, 25, 25, 27, 34, 35, 36, 43, 51, 57, 65, 76, 94]",inv_pyramid,14,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.00020225155654263356,0.0001,0.99,512,False,xavier_uniform,cosine,{'T_max': 50},254250,"[0.6950477957725525, 0.6957857012748718, 0.696470120078639]","[0.49473684210526314, 0.49736842105263157, 0.49736842105263157]","[0.6910140514373779, 0.6910139918327332, 0.6910134553909302]","[0.5334728033472803, 0.5334728033472803, 0.5334728033472803]",[],[],0.7824728033472803,9.84059970545281e-07,False,0.49736842105263157,0.696470120078639,0.5334728033472803,0.6910134553909302,0.0,0.0,0.0,1.9087559974765195e-05,0.0,5.72626799242956e-06
3,128,"[190, 380, 760, 1520]",3,"[2, 5, 11]","[100, 92, 90, 80, 70, 68, 61, 56, 51, 50, 46, 46, 45, 43, 41, 33, 24, 22, 16, 16, 5, 3]",pyramid,22,<class 'torch.nn.modules.activation.Tanh'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.00013816103185302256,0.01,,128,False,xavier_normal,none,{},42375,"[0.8168767935351322, 0.7527266270235965, 0.7606369106393112]","[0.46842105263157896, 0.49736842105263157, 0.49473684210526314]","[0.7088966880882136, 0.7077114367584804, 0.7061850917389203]","[0.5334728033472803, 0.5334728033472803, 0.5334728033472803]",[],[],0.7807228033472803,9.489719157519072e-07,False,0.49473684210526314,0.7606369106393112,0.5334728033472803,0.7061850917389203,0.0,0.0,0.0,1.8431063523942556e-05,0.0,5.529319057182767e-06
16,64,"[190, 380, 760, 1520]",3,"[3, 9, 21]","[94, 85, 81, 81, 79, 75, 55, 45, 40, 38, 35, 34, 28, 26, 23, 23, 17, 15, 12, 5, 4]",pyramid,21,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.0006585104721427294,1e-05,,64,False,xavier_uniform,none,{},226000,"[0.7165093007840608, 0.7146344172327141, 0.7119292347054732]","[0.49473684210526314, 0.49736842105263157, 0.49736842105263157]","[0.6999302424147538, 0.6989631218890265, 0.697332935851987]","[0.5334728033472803, 0.5334728033472803, 0.5334728033472803]",[],[],0.7782228033472803,9.009292068328993e-07,False,0.49736842105263157,0.7119292347054732,0.5334728033472803,0.697332935851987,0.0,0.0,0.0,1.7532185883703857e-05,0.0,5.259655765111158e-06
32,32,"[190, 380]",1,[6],"[27, 11, 11, 55, 256]",mutated,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.020516704633678922,1e-05,,32,True,kaiming_normal,none,{},28250,[1.7514553421422054],[0.5157894736842106],[0.9377313266239405],[0.5920502092050209],[],[],0.742050209205021,4.1842261433642403e-07,False,0.5157894736842106,1.7514553421422054,0.5920502092050209,0.9377313266239405,0.0,0.0,0.0,8.504502036941235e-06,0.0,2.551350611082371e-06
20,1024,"[190, 380, 760, 1520]",3,"[1, 2, 3]","[7, 17, 22, 30, 32, 41, 46, 56, 57, 63, 72, 86, 99]",triangular,13,<class 'torch.nn.modules.activation.GELU'>,0.3,<class 'torch.optim.sgd.SGD'>,0.001156372984008507,0.001,0.8,1024,True,xavier_normal,step,"{'step_size': 5, 'gamma': 0.5}",282500,"[0.6925706267356873, 0.6934592127799988, 0.6937119364738464]","[0.5105263157894737, 0.5078947368421053, 0.5]","[0.6951435804367065, 0.695141613483429, 0.695138692855835]","[0.4665271966527197, 0.4665271966527197, 0.4665271966527197]",[],[],0.7157771966527198,2.3264384643360056e-07,False,0.5,0.6937119364738464,0.4665271966527197,0.695138692855835,0.0,3.0814879110195774e-33,0.0,5.028586871947851e-06,0.0,1.5085760615843555e-06
