id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,fcst_greater_than_baseline,last_train_acc,last_train_loss,last_val_acc,last_val_loss,slope_val_acc,var_val_acc,gap_val_acc,p_sigmoid,p_mc,p_above_goal
14,1024,"[346, 692]",1,[1],"[4, 5, 24, 30, 32, 34, 41, 53, 62, 68, 69, 74, 79, 85, 86, 87, 89, 95, 96]",triangular,19,<class 'torch.nn.modules.activation.GELU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.06903233505484939,1e-05,0.99,1024,False,kaiming_normal,cosine,{'T_max': 50},197750,[55.74790573120117],[0.523121387283237],[1603034.375],[0.4798154555940023],[],[],0.6298154555940023,1.362566877622958e-07,False,0.523121387283237,55.74790573120117,0.4798154555940023,1603034.375,0.0,0.0,0.0,5.9347198984628816e-06,0.0,1.7804159695388647e-06
1,32,"[346, 692]",1,[11],"[28, 23, 17, 17, 23, 28]",hourglass,5,<class 'torch.nn.modules.activation.GELU'>,0.4,<class 'torch.optim.adam.Adam'>,0.03903304514522225,1e-06,,32,True,kaiming_uniform,exponential,{'gamma': 0.99},14125,[5.494040013737761],[0.5086705202312138],[0.7242080552080236],[0.46943483275663206],[],[],0.619434832756632,3.766347701601659e-08,False,0.5086705202312138,5.494040013737761,0.46943483275663206,0.7242080552080236,0.0,0.0,0.0,4.822095234126028e-06,0.0,1.4466285702378084e-06
0,512,"[346, 692]",1,[1],"[68, 65, 64, 54, 48, 41, 36, 8, 36, 41, 48, 54, 64, 65, 68]",hourglass,14,<class 'torch.nn.modules.activation.ELU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0007006700163436125,0.0,0.95,512,True,kaiming_uniform,step,"{'step_size': 5, 'gamma': 0.9}",0,[0.9450761079788208],[0.4913294797687861],[0.779401658521804],[0.46482122260668973],[],[],0.6148212226066897,0.0,False,0.4913294797687861,0.9450761079788208,0.46482122260668973,0.779401658521804,0.0,0.0,0.0,4.397062788630933e-06,0.0,1.3191188365892801e-06
9,256,"[346, 692, 1384]",2,"[2, 5]","[91, 88, 80, 73, 72, 51, 44, 44, 38, 37, 35, 22, 3]",pyramid,13,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adam.Adam'>,0.000602683458612075,1e-06,,256,False,kaiming_uniform,step,"{'step_size': 10, 'gamma': 0.9}",127125,"[0.7072578637586163, 0.7021998587371296]","[0.5144508670520231, 0.5173410404624278]","[0.704422523543634, 0.702773288047025]","[0.4809688581314879, 0.4809688581314879]",[],[],0.6309688581314878,3.433903241869912e-07,False,0.5173410404624278,0.7021998587371296,0.4809688581314879,0.702773288047025,0.0,0.0,0.0,6.073212697235787e-06,0.0,1.8219638091707364e-06
13,32,"[346, 692, 1384]",2,"[11, 33]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",constant,17,<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.sgd.SGD'>,0.03863077527237173,0.0,0.99,32,True,kaiming_uniform,cosine,{'T_max': 50},183625,"[0.7100450045111552, 0.71140912984837]","[0.4913294797687861, 0.48554913294797686]","[0.6961632450696644, 0.6956528681647269]","[0.4809688581314879, 0.4809688581314879]",[],[],0.6309688581314878,3.433903241869912e-07,False,0.48554913294797686,0.71140912984837,0.4809688581314879,0.6956528681647269,0.0,0.0,0.0,6.073212697235787e-06,0.0,1.8219638091707364e-06
26,32,"[346, 692]",1,[11],"[28, 23, 17, 17, 23, 28]",hourglass,5,<class 'torch.nn.modules.activation.GELU'>,0.4,<class 'torch.optim.adam.Adam'>,0.03903304514522225,1e-06,,32,True,kaiming_uniform,exponential,{'gamma': 0.99},14125,[5.494040013737761],[0.5086705202312138],[0.7242080552080236],[0.46943483275663206],[],[],0.619434832756632,2.540341519735905e-07,False,0.5086705202312138,5.494040013737761,0.46943483275663206,0.7242080552080236,0.0,0.0,0.0,4.822095234126028e-06,0.0,1.4466285702378084e-06
28,512,"[346, 692]",1,[1],"[83, 50, 26, 35, 15, 13, 5]",mutated,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.026084817419894882,0.0001,,512,True,kaiming_normal,none,{'T_max': 100},70625,[0.773624062538147],[0.5375722543352601],[0.8843932234292212],[0.40253748558246827],[],[],0.5525374855824683,0.0,False,0.5375722543352601,0.773624062538147,0.40253748558246827,0.8843932234292212,0.0,0.0,0.0,1.2652445332991903e-06,0.0,3.7957335998975716e-07
32,128,"[346, 692]",1,[3],"[98, 11, 11, 72, 256]",mutated,3,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.052164117530572714,1e-05,,128,False,kaiming_uniform,cosine,{'T_max': 10},98875,[41.716439517247196],[0.49421965317919075],[9.050714265103984],[0.510957324106113],[],[],0.6609573241061131,1.796594538449245e-07,False,0.49421965317919075,41.716439517247196,0.510957324106113,9.050714265103984,0.0,0.0,0.0,1.106350605391392e-05,0.0,3.3190518161741765e-06
30,256,"[346, 692]",1,[2],"[89, 80, 78, 61, 60, 57, 52, 48, 37, 22, 8, 22, 37, 48, 52, 57, 60, 61, 78, 80, 89]",hourglass,20,<class 'torch.nn.modules.activation.ELU'>,0.5,<class 'torch.optim.adamw.AdamW'>,0.00011353760357248227,0.0,,256,True,xavier_normal,exponential,{'gamma': 0.95},14127,[1.061085654131939],[0.5173410404624278],[0.694713912414432],[0.4809688581314879],[],[],0.6309688581314878,3.60135050565035e-08,False,0.5173410404624278,1.061085654131939,0.4809688581314879,0.694713912414432,0.0,0.0,0.0,6.073212697235787e-06,0.0,1.8219638091707364e-06
23,256,"[346, 692, 1384, 2768]",3,"[2, 5, 11]","[88, 75, 74, 48, 42, 29, 42, 48, 74, 75, 88]",hourglass,10,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adamw.AdamW'>,0.0002736146538133412,1e-05,,256,True,kaiming_uniform,none,{},324875,"[0.6957505459041264, 0.6945439098198289, 0.6946313508673211]","[0.4884393063583815, 0.5158959537572254, 0.5195086705202312]","[0.6928421935408173, 0.694523089691017, 0.6949634233010544]","[0.5190311418685121, 0.4809688581314879, 0.4809688581314879]",[],[],0.6309688581314878,3.489150512137639e-08,False,0.5195086705202312,0.6946313508673211,0.4809688581314879,0.6949634233010544,-0.004229142637447132,0.0003219416540617192,-0.019031141868512125,6.034234160982703e-06,0.0,1.8102702482948112e-06
29,32,"[346, 692]",1,[11],"[28, 23, 17, 17, 23, 28]",hourglass,5,<class 'torch.nn.modules.activation.GELU'>,0.4,<class 'torch.optim.adam.Adam'>,0.03903304514522225,1e-06,,32,True,kaiming_uniform,exponential,{'gamma': 0.99},14125,[5.494040013737761],[0.5086705202312138],[0.7242080552080236],[0.46943483275663206],[],[],0.619434832756632,0.0,False,0.5086705202312138,5.494040013737761,0.46943483275663206,0.7242080552080236,0.0,0.0,0.0,4.822095234126028e-06,0.0,1.4466285702378084e-06
34,1024,"[346, 692]",1,[1],"[93, 82, 77, 71, 71, 50, 46, 20, 9, 7, 5, 5, 3, 5, 5, 7, 9, 20, 46, 50, 71, 71, 77, 82, 93]",hourglass,24,<class 'torch.nn.modules.activation.ELU'>,0.5,<class 'torch.optim.adam.Adam'>,0.011884956687492048,0.01,,1024,False,kaiming_uniform,step,"{'step_size': 5, 'gamma': 0.9}",14128,[238.2187042236328],[0.48554913294797686],[0.7111333012580872],[0.5086505190311419],[],[],0.6586505190311419,1.6768482073803785e-07,False,0.48554913294797686,238.2187042236328,0.5086505190311419,0.7111333012580872,0.0,0.0,0.0,1.0564679932013767e-05,0.0,3.169403979604131e-06
