,pipeline,accuracy
114,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8862735405217, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7844256449848))])",0.4706
90,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8724217431196, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.8158035923261))])",0.4691
131,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8311322261232, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.5489259536924))])",0.4691
126,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.8080939368307)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.5847811489453))])",0.4647
74,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8308054106982, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.5132583721482))])",0.4647
5,"Pipeline(steps=[('learner', GaussianNB())])",0.4647
119,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8415360780325, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7041233790958))])",0.4603
120,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8379405677475, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7170087493715))])",0.4588
107,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.8572220397884)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.6755051907053))])",0.4574
34,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.7168288183749, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.233906371089))])",0.4456
112,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.7438464430733)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.6263057599196))])",0.4456
82,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.8384437762594, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.8576895928822))])",0.4441
51,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.7185395439484, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1147507433196))])",0.4426
87,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.7674456438117)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.8472702279815))])",0.4426
130,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.7804601692492)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.4774608124369))])",0.4397
48,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.7018718439485)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1471147804415))])",0.4397
33,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.7885078098648)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.3302697245812))])",0.4397
65,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.7921123114599)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1485379099042))])",0.4397
40,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.7165219571325)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.742665538584))])",0.4382
3,"Pipeline(steps=[('learner', BernoulliNB())])",0.4368
67,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.7170255141894, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.3644360474572))])",0.4353
98,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.7401378743451)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7711209785633))])",0.4353
45,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.7206318129738)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.4340304508254))])",0.4353
75,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.7596120659081, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1842349547136))])",0.4338
105,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.7234507330669, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.3720180110178))])",0.4324
39,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6745487237201, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.2576814508756))])",0.4324
110,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6520186012767, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.4710353569048))])",0.4324
59,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6611512617732, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.5537450302338))])",0.4324
44,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6756548576334, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.2597731970907))])",0.4309
109,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.5632346930699, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.6291886177068))])",0.4309
