id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,forecast_gain,fcst_greater_than_baseline,last_train_acc,last_train_loss,last_val_acc,last_val_loss,slope_val_acc,var_val_acc,gap_val_acc
12,256,"[54, 108, 216]",2,"[0.1, 0.4]","[493, 473, 458, 455, 448, 395, 386, 382, 290, 231, 195, 186, 129, 117, 83, 80, 72, 72, 80, 83, 117, 129, 186, 195, 231, 290, 382, 386, 395, 448, 455, 458, 473, 493]",hourglass,33,<class 'torch.nn.modules.activation.Sigmoid'>,0.1,<class 'torch.optim.adam.Adam'>,0.0002923989402246147,0.0,,256,True,kaiming_normal,none,{},156,"[1.4207587242126465, 1.395947813987732]","[0.24074074074074073, 0.25]","[1.3889470100402832, 1.3992737531661987]","[0.23529411764705882, 0.21323529411764705]",[],[],0.0,0.0,0.0,False,0.25,1.395947813987732,0.21323529411764705,1.3992737531661987,,,
13,32,"[54, 108, 216]",2,"[0.1, 0.4]","[428, 428, 427, 407, 387, 311, 292, 287, 276, 274, 264, 244, 179, 140, 110, 65, 40, 3]",triangular,18,<class 'torch.nn.modules.activation.LeakyReLU'>,0.3,<class 'torch.optim.adam.Adam'>,0.000487706860346442,1e-06,,32,True,kaiming_uniform,cosine,{'T_max': 100},169,"[27.876962096602828, 11.811468495262993]","[0.16666666666666666, 0.2777777777777778]","[1.4125235992319443, 1.3886631025987513]","[0.18382352941176472, 0.22058823529411764]",[],[],0.0,0.0,0.0,False,0.2777777777777778,11.811468495262993,0.22058823529411764,1.3886631025987513,,,
9,64,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[488, 434, 418, 369, 362, 292, 288, 272, 236, 211, 207, 181, 172, 110, 87, 84, 63]",pyramid,17,<class 'torch.nn.modules.activation.GELU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.08436057852086166,0.0001,0.8,64,False,kaiming_normal,none,{},117,"[1.412843942642212, 1.368532869550917, 1.424464049162688]","[0.24074074074074073, 0.3611111111111111, 0.3425925925925926]","[1.3787681074703442, 1.3667508854585535, 1.4428466207840864]","[0.38235294117647056, 0.4411764705882353, 0.34558823529411764]",[],[],0.0,0.0,0.0,False,0.3425925925925926,1.424464049162688,0.34558823529411764,1.4428466207840864,,,
14,1024,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[17, 19, 42, 50, 50, 53, 82, 112, 122, 122, 139, 144, 148, 166, 181, 191, 240, 262, 295, 324, 340, 357, 357, 367, 376, 391, 404, 461, 474, 481]",inv_pyramid,30,<class 'torch.nn.modules.activation.GELU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.004430289883742905,0.001,0.8,1024,True,kaiming_normal,exponential,{'gamma': 0.99},182,"[15020.123046875, nan, nan]","[0.1111111111111111, 0.25925925925925924, 0.2638888888888889]","[nan, nan, nan]","[0.21323529411764705, 0.21323529411764705, 0.21323529411764705]",[],[],0.0,0.0,0.0,False,0.2638888888888889,,0.21323529411764705,,,,
15,1024,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[465, 444, 441, 437, 371, 367, 348, 334, 331, 319, 291, 206, 177, 166, 157, 123, 109, 105, 104, 43, 24, 43, 104, 105, 109, 123, 157, 166, 177, 206, 291, 319, 331, 334, 348, 367, 371, 437, 441, 444, 465]",hourglass,40,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.adamw.AdamW'>,0.02160601819382381,1e-06,,1024,True,xavier_normal,step,"{'step_size': 5, 'gamma': 0.9}",195,"[1.3855109214782715, 736176.375, 3.153898239135742]","[0.2037037037037037, 0.2222222222222222, 0.23148148148148148]","[25296.50390625, 2.86877703666687, 2.6262431144714355]","[0.21323529411764705, 0.22058823529411764, 0.22058823529411764]",[],[],0.0,0.0,0.0,False,0.23148148148148148,3.153898239135742,0.22058823529411764,2.6262431144714355,,,
16,256,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[498, 440, 427, 421, 411, 381, 351, 326, 321, 296, 292, 291, 238, 237, 218, 179, 134, 133, 31]",triangular,19,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0007947892367171965,0.001,0.9,256,False,kaiming_normal,cosine,{'T_max': 100},208,"[1.5948573350906372, 1.8029654026031494, 1.8897112607955933]","[0.2777777777777778, 0.19444444444444445, 0.2175925925925926]","[1.4667627811431885, 1.4542261362075806, 1.4409552812576294]","[0.23529411764705882, 0.23529411764705882, 0.23529411764705882]",[],[],0.0,0.0,0.0,False,0.2175925925925926,1.8897112607955933,0.23529411764705882,1.4409552812576294,,,
17,32,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[435, 423, 395, 393, 288, 254, 146, 121, 50, 50, 121, 146, 254, 288, 393, 395, 423, 435]",hourglass,17,<class 'torch.nn.modules.activation.Sigmoid'>,0.4,<class 'torch.optim.adamw.AdamW'>,0.008133656294905043,0.001,,32,True,kaiming_uniform,step,"{'step_size': 20, 'gamma': 0.9}",221,"[1.6770717391261347, 1.751330746544732, 1.7533463901943631]","[0.24074074074074073, 0.2222222222222222, 0.23148148148148148]","[1.485186450621661, 1.7831572013742782, 1.5094789056216968]","[0.33088235294117646, 0.23529411764705882, 0.22058823529411764]",[],[],0.0,0.0,0.0,False,0.23148148148148148,1.7533463901943631,0.22058823529411764,1.5094789056216968,,,
18,1024,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[32, 42, 120, 136, 138, 180, 187, 213, 249, 254, 261, 300, 316, 366, 406, 442, 446, 448, 452, 466, 475, 490, 498]",inv_pyramid,23,<class 'torch.nn.modules.activation.Tanh'>,0.3,<class 'torch.optim.adam.Adam'>,0.0014664515716652877,0.0001,,1024,False,kaiming_uniform,step,"{'step_size': 30, 'gamma': 0.5}",234,"[1.499402642250061, 1.4622365236282349, 1.4636263847351074]","[0.24074074074074073, 0.23148148148148148, 0.2962962962962963]","[1.5678911209106445, 1.599597454071045, 1.6064194440841675]","[0.11764705882352941, 0.16176470588235295, 0.16176470588235295]",[],[],0.0,0.0,0.0,False,0.2962962962962963,1.4636263847351074,0.16176470588235295,1.6064194440841675,,,
19,64,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[7, 13, 29, 69, 73, 89, 103, 108, 109, 151, 152, 181, 186, 218, 219, 244, 278, 288, 315, 321, 337, 366, 390, 398, 445, 446, 448, 457, 462, 492, 499]",inv_pyramid,31,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.adam.Adam'>,0.0006289108530406421,0.0001,,64,True,kaiming_uniform,none,{},247,"[718.5421142578125, 755.7359234845197, 600.3334147135416]","[0.24074074074074073, 0.25925925925925924, 0.24074074074074073]","[1.4686359447591446, 1.4115437830195707, 1.3777878775316126]","[0.2426470588235294, 0.23529411764705882, 0.3382352941176471]",[],[],0.0,0.0,0.0,False,0.24074074074074073,600.3334147135416,0.3382352941176471,1.3777878775316126,,,
20,512,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[483, 483, 483, 483, 483, 483, 483, 483, 483, 483, 483, 483, 483, 483, 483]",constant,15,<class 'torch.nn.modules.activation.Tanh'>,0.4,<class 'torch.optim.adamw.AdamW'>,0.0004308430261003725,0.0,,512,False,kaiming_normal,step,"{'step_size': 20, 'gamma': 0.9}",260,"[1.4441139698028564, 1.4410614967346191, 1.4801627397537231]","[0.2777777777777778, 0.2037037037037037, 0.25]","[1.3981751203536987, 1.3800209760665894, 1.3656247854232788]","[0.2867647058823529, 0.34558823529411764, 0.3382352941176471]",[],[],0.0,0.0,0.0,False,0.25,1.4801627397537231,0.3382352941176471,1.3656247854232788,,,
21,1024,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[327, 306, 125, 159, 377, 313, 300, 151, 67, 115, 435, 45, 266, 100]",irregular,14,<class 'torch.nn.modules.activation.ELU'>,0.0,<class 'torch.optim.adamw.AdamW'>,0.06445393298490566,0.0001,,1024,False,xavier_normal,none,{},273,"[1.3865610361099243, 13.311142921447754, 55001.41015625]","[0.25925925925925924, 0.25925925925925924, 0.24074074074074073]","[12.095998764038086, 47038.76171875, 18300184.0]","[0.33088235294117646, 0.3382352941176471, 0.21323529411764705]",[],[],0.0,0.0,0.0,False,0.24074074074074073,55001.41015625,0.21323529411764705,18300184.0,,,
