id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,forecast_gain,fcst_greater_than_baseline,slope_val_acc,var_val_acc,gap_val_acc,last_train_acc,last_train_loss,last_val_acc,last_val_loss
419,32,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",11,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0]","[91, 114, 164, 252, 303]",mutated,9,<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.0031846801084460994,0.001,,32,True,xavier_normal,step,"{'gamma': 0.9, 'step_size': 30}",1370125,"[1.3884425472330164, 1.3195793231328328, 1.0977993188080963, 0.7479774996086404, 0.612019353221964, 0.4539710691681615, 0.369644022098294, 0.3966479612721337, 0.3831044605484715, 0.5671969804498884, 0.46033461502304784]","[0.16666666666666666, 0.3611111111111111, 0.5462962962962963, 0.6828703703703703, 0.6981481481481482, 0.7444444444444445, 0.7962962962962963, 0.8018518518518518, 0.8314814814814815, 0.7648148148148148, 0.7777777777777778]","[1.3415527624242447, 1.199683147318223, 0.7524329739458421, 0.4371393463190864, 0.4470342976205489, 0.4000697556663962, 0.44741791136124553, 0.6150020711562213, 0.8151827489628511, 0.3966222089879653, 0.42831889320822325]","[0.3161764705882353, 0.4485294117647059, 0.7205882352941176, 0.7794117647058824, 0.7794117647058824, 0.7720588235294118, 0.7573529411764706, 0.6985294117647058, 0.6838235294117647, 0.7941176470588235, 0.7573529411764706]",[],[],1.0,0.5405387655278424,0.0,False,0.040474905558553695,0.021919414338414024,0.08235294117647063,0.7777777777777778,0.46033461502304784,0.7573529411764706,0.42831889320822325
458,32,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080]",10,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","[443, 315, 311, 197]",mutated,4,<class 'torch.nn.modules.activation.Tanh'>,0.0,<class 'torch.optim.adam.Adam'>,0.0008149688925786807,0.0,,32,False,kaiming_uniform,exponential,"{'gamma': 0.9, 'step_size': 30}",1624375,"[1.2284880611631606, 1.1078120470046997, 0.7877080617127595, 0.6203287751586349, 0.4388148550634031, 0.3483147950084121, 0.30838915705680847, 0.28019850927370565, 0.2676058622422042, 0.24941182081346158]","[0.42592592592592593, 0.5462962962962963, 0.6805555555555556, 0.7638888888888888, 0.8037037037037037, 0.8444444444444444, 0.8666666666666667, 0.8907407407407407, 0.9074074074074074, 0.8833333333333333]","[1.1378251664778765, 0.8649732365327722, 0.7238743252613965, 0.48520375349942374, 0.43839158556040597, 0.4392685188966639, 0.45341813827262206, 0.3930457812898299, 0.424818415852154, 0.46782251052996693]","[0.49264705882352944, 0.6470588235294118, 0.7426470588235294, 0.8088235294117647, 0.7867647058823529, 0.7867647058823529, 0.7426470588235294, 0.7794117647058824, 0.7867647058823529, 0.7941176470588235]",[],[],1.0,0.5388686038586559,0.0,False,0.03045157456922162,0.008551038062283734,0.06372549019607832,0.8833333333333333,0.24941182081346158,0.7941176470588235,0.46782251052996693
651,32,"[54, 108, 216, 432, 864, 1080]",5,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0]","[494, 490, 463, 252, 303]",mutated,9,<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.adam.Adam'>,0.0031846801084460994,1e-06,,32,True,kaiming_normal,step,"{'gamma': 0.9, 'step_size': 30, 'T_max': 10}",14127,"[1.4944558099464134, 1.3338048458099365, 0.9484318980464229, 0.5283238976090042, 0.7365624613232082]","[0.37037037037037035, 0.5185185185185185, 0.6388888888888888, 0.7523148148148148, 0.7222222222222222]","[1.4457209741368013, 0.914680582635543, 0.5741857272737166, 0.4124422318795148, 0.5895759673679576]","[0.5661764705882353, 0.5588235294117647, 0.7426470588235294, 0.7941176470588235, 0.6911764705882353]",[],[],1.0,0.5373559158957701,0.0,False,0.02551020408163265,0.0088538062283737,0.02573529411764708,0.7222222222222222,0.7365624613232082,0.6911764705882353,0.5895759673679576
315,32,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",14,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]","[494, 490, 463, 272, 418, 377, 255, 174, 342, 115, 480, 206, 309, 226, 497, 251, 390, 243, 371, 300, 206, 122, 463, 183, 185, 22, 267, 410, 42]",mutated,39,<class 'torch.nn.modules.activation.Tanh'>,0.0,<class 'torch.optim.adamw.AdamW'>,0.0001617626962416053,1e-06,,32,True,kaiming_normal,step,"{'gamma': 0.9, 'step_size': 30, 'T_max': 10}",918125,"[1.3558955898991338, 1.2174488173590765, 0.9834455450375875, 0.7474521862135993, 0.5937419255574544, 0.5382675959004296, 0.520899130238427, 0.4359380152490404, 0.38875606920984057, 0.36486646279140755, 0.36734845748654116, 0.4719573868645562, 0.4141567843931693, 0.3252479743074488]","[0.3333333333333333, 0.5740740740740741, 0.6620370370370371, 0.7199074074074074, 0.7796296296296297, 0.7888888888888889, 0.7888888888888889, 0.825925925925926, 0.8481481481481481, 0.8555555555555555, 0.8574074074074074, 0.8074074074074075, 0.8407407407407408, 0.8888888888888888]","[1.2752570825464584, 1.113191331134123, 0.8825100029216093, 0.6431684739449445, 0.6657283867106718, 0.5271179132601794, 0.5092718618757585, 0.5205249961684731, 0.593718945980072, 0.6635008769876817, 0.5684986850794624, 0.5314716512666029, 0.4571323044159833, 0.47377827675903544]","[0.45588235294117646, 0.6029411764705882, 0.7279411764705882, 0.7279411764705882, 0.6617647058823529, 0.75, 0.7205882352941176, 0.75, 0.7647058823529411, 0.6985294117647058, 0.7426470588235294, 0.7647058823529411, 0.8308823529411765, 0.7941176470588235]",[],[],1.0,0.5370954696812072,0.0,False,0.024333474396953023,0.00792807931996328,0.08653846153846156,0.8888888888888888,0.3252479743074488,0.7941176470588235,0.47377827675903544
353,64,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",13,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0]","[494, 490, 311, 197]",mutated,39,<class 'torch.nn.modules.activation.Tanh'>,0.0,<class 'torch.optim.adam.Adam'>,0.0008706224999095812,0.0,,64,True,kaiming_normal,exponential,"{'gamma': 0.95, 'T_max': 10}",1624375,"[1.3365365266799927, 1.2211144809369687, 0.8909718637113218, 0.7389282495887192, 0.5344946768548754, 0.39430039370501485, 0.32557378311951957, 0.27329636657679524, 0.2516328380063728, 0.22979835117304767, 0.1961899435630551, 0.20032806142612739, 0.1780557362569703]","[0.2777777777777778, 0.5370370370370371, 0.5972222222222222, 0.7060185185185185, 0.7833333333333333, 0.8462962962962963, 0.8740740740740741, 0.8888888888888888, 0.8870370370370371, 0.9148148148148149, 0.9277777777777778, 0.924074074074074, 0.9333333333333333]","[1.249621447394876, 0.9709697085268357, 0.7682547025820788, 0.6069009742316078, 0.4691888391971588, 0.45971477908246655, 0.43460217293571024, 0.4600784734768026, 0.5076172281714046, 0.4785536755533779, 0.5640375736881705, 0.5322890755008248, 0.5504757165908813]","[0.4485294117647059, 0.5661764705882353, 0.7058823529411765, 0.7573529411764706, 0.7794117647058824, 0.7647058823529411, 0.7867647058823529, 0.7867647058823529, 0.7426470588235294, 0.75, 0.6985294117647058, 0.75, 0.7573529411764706]",[],[],1.0,0.5368683996194582,0.0,False,0.023939808481532144,0.009017782191191826,0.045955882352941235,0.9333333333333333,0.1780557362569703,0.7573529411764706,0.5504757165908813
151,64,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",19,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0]","[494, 490, 463, 458, 440, 415, 386, 357, 350, 314, 304, 297, 238, 234, 219, 200, 185, 142, 79, 26, 26, 79, 142, 185, 200, 219, 234, 238, 297, 304, 314, 350, 357, 386, 415, 440, 458, 463, 490, 494]",hourglass,39,<class 'torch.nn.modules.activation.Tanh'>,0.0,<class 'torch.optim.adamw.AdamW'>,0.0001617626962416053,1e-06,,64,True,kaiming_normal,cosine,{'T_max': 10},14127,"[1.4677945375442505, 1.3760025589554399, 1.1347605961340446, 0.8539929191271464, 0.617413729650003, 0.5154865481235363, 0.45476096404923333, 0.5174785558824186, 0.4131501860088772, 0.38403881076309415, 0.3914884448051453, 0.332677670540633, 0.29391389952765573, 0.261653143995338, 0.20932937402416157, 0.2529078130368833, 0.31818069903938856, 0.3159629065681387, 0.2582931014122786]","[0.2037037037037037, 0.3333333333333333, 0.5462962962962963, 0.6527777777777778, 0.7333333333333333, 0.7759259259259259, 0.812962962962963, 0.8111111111111111, 0.8222222222222222, 0.8462962962962963, 0.8537037037037037, 0.8481481481481481, 0.8703703703703703, 0.9111111111111111, 0.912962962962963, 0.912962962962963, 0.8870370370370371, 0.9, 0.8981481481481481]","[1.3861241410760319, 1.2550722991718966, 0.9977009717155906, 0.6541587009149439, 0.5473114462459788, 0.5882294493563035, 0.5584344723645378, 0.6026298438801485, 0.5767097543267643, 0.6299071452196907, 0.5691004114992478, 0.5986321323058185, 0.51250001262216, 0.6232312812524683, 0.6501415126463946, 0.6935955566518447, 0.6109678359592662, 0.5484954171320972, 0.5410154777414659]","[0.2867647058823529, 0.4264705882352941, 0.5588235294117647, 0.7132352941176471, 0.75, 0.7279411764705882, 0.7647058823529411, 0.7794117647058824, 0.7867647058823529, 0.7426470588235294, 0.7794117647058824, 0.7647058823529411, 0.7794117647058824, 0.7647058823529411, 0.7867647058823529, 0.7720588235294118, 0.7867647058823529, 0.8088235294117647, 0.7867647058823529]",[],[],1.0,0.5367053485752565,0.0,False,0.026455026455026457,0.018193946553690728,0.07679738562091498,0.8981481481481481,0.2582931014122786,0.7867647058823529,0.5410154777414659
133,64,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",20,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0]","[494, 490, 463, 458, 440, 415, 386, 357, 350, 314, 304, 297, 238, 234, 219, 200, 185, 142, 79, 26, 26, 79, 142, 185, 200, 219, 234, 238, 297, 304, 314, 350, 357, 386, 415, 440, 458, 463, 490, 494]",hourglass,39,<class 'torch.nn.modules.activation.Tanh'>,0.0,<class 'torch.optim.adamw.AdamW'>,0.0001617626962416053,1e-06,,64,True,kaiming_normal,cosine,{'T_max': 10},14127,"[1.4677945375442505, 1.3760025589554399, 1.1347605961340446, 0.8539929191271464, 0.617413729650003, 0.5154865481235363, 0.45476096404923333, 0.5174785558824186, 0.4131501860088772, 0.38403881076309415, 0.3914884448051453, 0.332677670540633, 0.29391389952765573, 0.261653143995338, 0.20932937402416157, 0.2529078130368833, 0.31818069903938856, 0.3159629065681387, 0.2582931014122786, 0.23697495879950348]","[0.2037037037037037, 0.3333333333333333, 0.5462962962962963, 0.6527777777777778, 0.7333333333333333, 0.7759259259259259, 0.812962962962963, 0.8111111111111111, 0.8222222222222222, 0.8462962962962963, 0.8537037037037037, 0.8481481481481481, 0.8703703703703703, 0.9111111111111111, 0.912962962962963, 0.912962962962963, 0.8870370370370371, 0.9, 0.8981481481481481, 0.9111111111111111]","[1.3861241410760319, 1.2550722991718966, 0.9977009717155906, 0.6541587009149439, 0.5473114462459788, 0.5882294493563035, 0.5584344723645378, 0.6026298438801485, 0.5767097543267643, 0.6299071452196907, 0.5691004114992478, 0.5986321323058185, 0.51250001262216, 0.6232312812524683, 0.6501415126463946, 0.6935955566518447, 0.6109678359592662, 0.5484954171320972, 0.5410154777414659, 0.48128533363342285]","[0.2867647058823529, 0.4264705882352941, 0.5588235294117647, 0.7132352941176471, 0.75, 0.7279411764705882, 0.7647058823529411, 0.7794117647058824, 0.7867647058823529, 0.7426470588235294, 0.7794117647058824, 0.7647058823529411, 0.7794117647058824, 0.7647058823529411, 0.7867647058823529, 0.7720588235294118, 0.7867647058823529, 0.8088235294117647, 0.7867647058823529, 0.8088235294117647]",[],[],1.0,0.5366873426252152,0.0,False,0.026234111735146323,0.017711261894463665,0.0948142414860681,0.9111111111111111,0.23697495879950348,0.8088235294117647,0.48128533363342285
97,32,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",21,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0]","[303, 303, 303, 303, 303]",constant,5,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.0031846801084460994,0.001,,32,False,kaiming_normal,exponential,{'gamma': 0.95},1370125,"[2.1228991172931813, 1.8238635813748394, 1.239661035714326, 0.9797465668784248, 0.7712650608133387, 0.4525285600512116, 0.21656834681828815, 0.22016829467482038, 0.1326286088813234, 0.0378730577054537, 0.05726831460164653, 0.05027960258195418, 0.11254032491318261, 0.474059377334736, 0.1486122177430877, 0.14590820863980938, 0.08526216247981346, 0.02701791420630697, 0.129731420921248, 0.04931852265640541, 0.013552046173114191]","[0.2777777777777778, 0.26851851851851855, 0.4027777777777778, 0.5810185185185185, 0.6907407407407408, 0.8222222222222222, 0.9, 0.9, 0.9444444444444444, 0.9925925925925926, 0.987037037037037, 0.9796296296296296, 0.9685185185185186, 0.8814814814814815, 0.9481481481481482, 0.9537037037037037, 0.975925925925926, 0.9925925925925926, 0.9722222222222222, 0.9833333333333333, 0.9944444444444445]","[1.742154934827019, 1.234680091633516, 0.9742771702654222, 0.5536928983295665, 0.6622216736569124, 0.4148954994538251, 0.637585363789078, 1.0322917419321396, 0.475061718155356, 1.150851242682513, 0.9628922343254089, 2.044235762427835, 2.9143011990715477, 0.7302296472822919, 1.0453740077860214, 1.217617715106291, 1.8259402864119585, 1.3260824540082146, 1.7001677681418026, 0.7081552796504077, 0.884345655932146]","[0.2647058823529412, 0.4411764705882353, 0.6102941176470589, 0.75, 0.6397058823529411, 0.75, 0.7794117647058824, 0.6397058823529411, 0.8235294117647058, 0.7205882352941176, 0.7352941176470589, 0.6985294117647058, 0.6691176470588235, 0.7205882352941176, 0.6176470588235294, 0.7132352941176471, 0.6764705882352942, 0.7132352941176471, 0.6838235294117647, 0.7941176470588235, 0.7867647058823529]",[],[],1.0,0.5365813023774103,0.0,False,0.024978891077962282,0.01500600240096038,0.1147058823529411,0.9944444444444445,0.013552046173114191,0.7867647058823529,0.884345655932146
164,1024,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",19,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0]","[498, 485, 476, 467, 411, 408, 381, 346, 437, 364, 314, 14, 135]",mutated,37,<class 'torch.nn.modules.activation.ELU'>,0.0,<class 'torch.optim.adam.Adam'>,0.00019192397748865112,0.001,,1024,True,kaiming_uniform,exponential,"{'gamma': 0.95, 'T_max': 50}",932250,"[1.8057843446731567, 1.2565211057662964, 0.9545741677284241, 0.8478076457977295, 0.7752000689506531, 0.6885132193565369, 0.6191458106040955, 0.5505077242851257, 0.484402060508728, 0.43608149886131287, 0.40440264344215393, 0.3740682601928711, 0.34305378794670105, 0.31419986486434937, 0.28895774483680725, 0.2673451006412506, 0.24716760218143463, 0.22585606575012207, 0.20345671474933624]","[0.24074074074074073, 0.4351851851851852, 0.5740740740740741, 0.6828703703703703, 0.7092592592592593, 0.7351851851851852, 0.7685185185185185, 0.7907407407407407, 0.8203703703703704, 0.8314814814814815, 0.8407407407407408, 0.8518518518518519, 0.8703703703703703, 0.8777777777777778, 0.8944444444444445, 0.9055555555555556, 0.924074074074074, 0.9407407407407408, 0.9555555555555556]","[1.334722638130188, 1.1006687879562378, 0.9517362117767334, 0.8434545993804932, 0.7619315981864929, 0.7122833728790283, 0.6629432439804077, 0.6126013398170471, 0.5770055651664734, 0.5558657646179199, 0.5354393124580383, 0.5152542591094971, 0.49566707015037537, 0.47497496008872986, 0.4514772295951843, 0.428529292345047, 0.415796160697937, 0.4147815704345703, 0.41331061720848083]","[0.35294117647058826, 0.47058823529411764, 0.625, 0.6838235294117647, 0.7132352941176471, 0.6985294117647058, 0.6838235294117647, 0.7132352941176471, 0.7205882352941176, 0.7205882352941176, 0.7205882352941176, 0.7426470588235294, 0.75, 0.7647058823529411, 0.7867647058823529, 0.8088235294117647, 0.8161764705882353, 0.8161764705882353, 0.8014705882352942]",[],[],1.0,0.5364151441631457,0.0,False,0.0237317149081855,0.012926056034276183,0.10212418300653592,0.9555555555555556,0.20345671474933624,0.8014705882352942,0.41331061720848083
184,32,"[54, 108, 216, 432, 864, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080, 1080]",18,"[0.1, 0.4, 1.2000000000000002, 3.2, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0]","[494, 490, 187, 280, 301, 433, 180, 9, 235, 232, 320, 28, 107, 275, 474, 41]",mutated,39,<class 'torch.nn.modules.activation.Tanh'>,0.0,<class 'torch.optim.adamw.AdamW'>,0.0001617626962416053,1e-06,,32,True,kaiming_normal,cosine,"{'gamma': 0.99, 'T_max': 10}",14127,"[1.4594294936568648, 1.2264357628645721, 1.0618249310387506, 0.7879343628883362, 0.6003967174777278, 0.49950876589174625, 0.4766058634828638, 0.4332450473750079, 0.41446822903774405, 0.38962404970769526, 0.4001446723937988, 0.34088073858508355, 0.27492467120841696, 0.2486813622492331, 0.22373505797651078, 0.33589428354192663, 0.31209141280916003, 0.23393368290530311]","[0.24074074074074073, 0.49074074074074076, 0.5694444444444444, 0.7291666666666666, 0.75, 0.8018518518518518, 0.7981481481481482, 0.8111111111111111, 0.8407407407407408, 0.8351851851851851, 0.825925925925926, 0.8611111111111112, 0.9111111111111111, 0.9148148148148149, 0.9259259259259259, 0.8777777777777778, 0.8796296296296297, 0.9148148148148149]","[1.3105366790995878, 1.1660436216522665, 0.9760686404564801, 0.6515181765836828, 0.6066461521036485, 0.5588963540161357, 0.4880269415238324, 0.46853474133154926, 0.4946075292194591, 0.5406031994258657, 0.5260283806744743, 0.5575259327888489, 0.5559213231591618, 0.5693167518166935, 0.5844985562212327, 0.5218311758602366, 0.4832650948973263, 0.559005477849175]","[0.35294117647058826, 0.47058823529411764, 0.5441176470588235, 0.7352941176470589, 0.7426470588235294, 0.6911764705882353, 0.8014705882352942, 0.8161764705882353, 0.7794117647058824, 0.7794117647058824, 0.7647058823529411, 0.7647058823529411, 0.75, 0.7647058823529411, 0.7867647058823529, 0.8014705882352942, 0.8088235294117647, 0.7794117647058824]",[],[],1.0,0.5361704002085158,0.0,False,0.023825172527111405,0.015653868437353155,0.06444636678200688,0.9148148148148149,0.23393368290530311,0.7794117647058824,0.559005477849175
