id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,forecast_gain,fcst_greater_than_baseline,last_train_acc,last_train_loss,last_val_acc,last_val_loss,slope_val_acc,var_val_acc,gap_val_acc
0,512,"[3125, 6250]",1,[0.0999744065519227],"[498, 497, 473, 427, 404, 301, 264, 251, 247, 210, 186, 158, 135, 23, 135, 158, 186, 210, 247, 251, 264, 301, 404, 427, 473, 497, 498]",hourglass,26,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.sgd.SGD'>,0.0007006700163436125,0.0,0.95,512,True,kaiming_uniform,step,"{'step_size': 5, 'gamma': 0.9}",0,[347.70175267562865],[0.6608],[1.0509941093904882],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.6608,347.70175267562865,0.7618682021753039,1.0509941093904882,,,
1,128,"[3125, 6250]",1,[0.0999744065519227],"[401, 327, 106, 84, 59, 84, 106, 327, 401]",hourglass,8,<class 'torch.nn.modules.activation.ELU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.00022804422768927732,0.001,0.8,128,True,xavier_uniform,exponential,{'gamma': 0.9},14125,[0.6761026490783691],[0.64896],[0.6598742444699801],[0.7223288547664747],[],[],0.0,0.0,0.0,False,0.64896,0.6761026490783691,0.7223288547664747,0.6598742444699801,,,
2,32,"[3125, 6250]",1,[0.0999744065519227],"[229, 213, 35, 35, 213, 229]",hourglass,5,<class 'torch.nn.modules.activation.Sigmoid'>,0.3,<class 'torch.optim.adamw.AdamW'>,0.0024225309839579216,0.0,,32,False,kaiming_normal,none,{},28250,[0.570947778377533],[0.75456],[0.5219248000048554],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.75456,0.570947778377533,0.7618682021753039,0.5219248000048554,,,
3,1024,"[3125, 6250]",1,[0.0999744065519227],"[475, 471, 465, 458, 449, 436, 431, 404, 400, 393, 388, 380, 364, 361, 354, 354, 311, 290, 274, 263, 237, 234, 222, 215, 215, 198, 193, 178, 176, 173, 166, 163, 157, 137, 123, 89, 86, 79, 56, 55, 26, 14, 6]",pyramid,43,<class 'torch.nn.modules.activation.Sigmoid'>,0.3,<class 'torch.optim.adam.Adam'>,0.00010101000575158582,1e-05,,1024,False,xavier_uniform,none,{},42375,[0.8683827951812744],[0.26464],[0.8499857293285777],[0.2381317978246961],[],[],0.0,0.0,0.0,False,0.26464,0.8683827951812744,0.2381317978246961,0.8499857293285777,,,
4,64,"[3125, 6250]",1,[0.0999744065519227],"[493, 415, 350, 337, 336, 310, 213, 150, 133, 113, 52, 44, 32]",pyramid,13,<class 'torch.nn.modules.activation.Tanh'>,0.5,<class 'torch.optim.sgd.SGD'>,0.002942826324564349,0.01,0.9,64,False,kaiming_normal,exponential,{'gamma': 0.9},56500,[0.6708720535278321],[0.60928],[0.5581006422457753],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.60928,0.6708720535278321,0.7618682021753039,0.5581006422457753,,,
5,256,"[3125, 6250]",1,[0.0999744065519227],"[439, 325, 194, 141, 98, 89, 61]",pyramid,7,<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.rmsprop.RMSprop'>,0.0067028957438755215,0.0,,256,False,kaiming_uniform,exponential,{'gamma': 0.9},70625,[438.4581814807606],[0.71456],[0.43399775621605774],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.71456,438.4581814807606,0.7618682021753039,0.43399775621605774,,,
6,1024,"[3125, 6250]",1,[0.0999744065519227],"[284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284]",constant,43,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.0001431923924022744,0.01,,1024,True,xavier_uniform,exponential,{'gamma': 0.99},84750,[34418269.04384],[0.6368],[29.05016038593236],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.6368,34418269.04384,0.7618682021753039,29.05016038593236,,,
7,256,"[3125, 6250]",1,[0.0999744065519227],"[495, 466, 398, 385, 365, 361, 287, 251, 232, 221, 142, 140, 139, 126, 117, 64, 52, 26, 25]",pyramid,19,<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.adam.Adam'>,0.017655959009564064,1e-05,,256,True,xavier_normal,step,"{'step_size': 30, 'gamma': 0.9}",98875,[0.5663163723087311],[0.75968],[0.5493617889748426],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.75968,0.5663163723087311,0.7618682021753039,0.5493617889748426,,,
8,32,"[3125, 6250]",1,[0.0999744065519227],"[498, 493, 440, 425, 353, 305, 265, 263, 219, 217, 206, 187, 184, 152, 145, 129, 104, 100, 91, 55, 52, 52, 55, 91, 100, 104, 129, 145, 152, 184, 187, 206, 217, 219, 263, 265, 305, 353, 425, 440, 493, 498]",hourglass,41,<class 'torch.nn.modules.activation.ELU'>,0.4,<class 'torch.optim.adamw.AdamW'>,0.03854894607456365,0.001,,32,True,xavier_normal,none,{},113000,[78737163579126.1],[0.32832],[28.360339222698737],[0.2381317978246961],[],[],0.0,0.0,0.0,False,0.32832,78737163579126.1,0.2381317978246961,28.360339222698737,,,
9,512,"[3125, 6250]",1,[0.0999744065519227],"[434, 397, 389, 388, 369, 357, 345, 311, 285, 282, 250, 198, 168, 167, 144, 142, 140, 136, 133, 124, 119, 113, 80, 45, 3]",pyramid,25,<class 'torch.nn.modules.activation.GELU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.0007443695643739327,0.001,,512,True,xavier_normal,none,{},127125,[0.6830821041297913],[0.52512],[0.5526350405913321],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.52512,0.6830821041297913,0.7618682021753039,0.5526350405913321,,,
10,32,"[3125, 6250]",1,[0.0999744065519227],"[20, 44, 130, 152, 161, 168, 193, 201, 206, 226, 250, 264, 267, 269, 276, 292, 294, 295, 296, 298, 314, 322, 339, 345, 346, 346, 347, 380, 404, 407, 430, 463, 480]",inv_pyramid,33,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.rmsprop.RMSprop'>,0.00023683339213158132,0.0001,,32,True,kaiming_uniform,step,"{'step_size': 30, 'gamma': 0.5}",141250,[1.9691695032119751],[0.7024],[0.5490663042567284],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.7024,1.9691695032119751,0.7618682021753039,0.5490663042567284,,,
11,512,"[3125, 6250]",1,[0.0999744065519227],"[491, 483, 476, 469, 454, 437, 434, 431, 430, 418, 390, 382, 382, 381, 376, 375, 374, 363, 359, 336, 305, 276, 269, 267, 257, 255, 249, 235, 233, 215, 214, 193, 177, 172, 164, 140, 135, 134, 115, 114, 92, 85, 72, 61, 52, 22, 22, 17, 13]",pyramid,49,<class 'torch.nn.modules.activation.ELU'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.05866827312201596,0.0,,512,False,kaiming_uniform,step,"{'step_size': 20, 'gamma': 0.5}",155375,[nan],[0.68832],[nan],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.68832,,0.7618682021753039,,,,
12,64,"[3125, 6250]",1,[0.0999744065519227],"[499, 456, 282, 456, 499]",hourglass,4,<class 'torch.nn.modules.activation.Tanh'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.005955798391780947,0.0001,,64,True,kaiming_uniform,cosine,{'T_max': 50},169500,[1.6815752670669555],[0.65696],[0.541969385897587],[0.7611004478566858],[],[],0.0,0.0,0.0,False,0.65696,1.6815752670669555,0.7611004478566858,0.541969385897587,,,
13,32,"[3125, 6250]",1,[0.0999744065519227],"[36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36]",constant,33,<class 'torch.nn.modules.activation.Sigmoid'>,0.2,<class 'torch.optim.sgd.SGD'>,0.03863077527237173,0.0,0.99,32,True,kaiming_uniform,cosine,{'T_max': 50},183625,[0.5959475667667389],[0.74848],[0.5527719988131935],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.74848,0.5959475667667389,0.7618682021753039,0.5527719988131935,,,
14,128,"[3125, 6250]",1,[0.0999744065519227],"[8, 13, 90, 112, 115, 122, 130, 158, 158, 203, 240, 241, 266, 269, 288, 308, 309, 331, 335, 337, 342, 349, 361, 371, 372, 376, 398, 408, 411, 417, 431, 445, 479, 487, 489, 496]",triangular,36,<class 'torch.nn.modules.activation.Tanh'>,0.4,<class 'torch.optim.adamw.AdamW'>,0.003504939643107115,0.01,,128,False,xavier_uniform,none,{},197750,[0.6606280204391479],[0.6704],[0.5489465112802087],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.6704,0.6606280204391479,0.7618682021753039,0.5489465112802087,,,
15,128,"[3125, 6250]",1,[0.0999744065519227],"[485, 435, 430, 395, 388, 387, 374, 359, 242, 209, 182, 123, 102, 95, 90, 59, 90, 95, 102, 123, 182, 209, 242, 359, 374, 387, 388, 395, 430, 435, 485]",hourglass,30,<class 'torch.nn.modules.activation.LeakyReLU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.02343866841048828,0.0,0.95,128,True,kaiming_normal,cosine,{'T_max': 10},211875,[nan],[0.73888],[nan],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.73888,,0.7618682021753039,,,,
16,512,"[3125, 6250]",1,[0.0999744065519227],"[495, 481, 455, 451, 435, 429, 412, 406, 406, 379, 370, 332, 330, 316, 315, 308, 293, 242, 227, 213, 206, 172, 159, 154, 153, 143, 142, 131, 127, 105, 96, 85, 84, 77, 59, 54, 41, 26, 12, 8]",pyramid,40,<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.rmsprop.RMSprop'>,0.0004643885549634877,1e-06,,512,False,xavier_uniform,exponential,{'gamma': 0.99},226000,[0.7961712557983398],[0.50368],[0.5795006188916153],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.50368,0.7961712557983398,0.7618682021753039,0.5795006188916153,,,
17,128,"[3125, 6250]",1,[0.0999744065519227],"[9, 24, 34, 44, 53, 70, 90, 98, 107, 120, 144, 156, 172, 191, 198, 210, 231, 233, 235, 237, 255, 263, 276, 295, 322, 323, 332, 365, 365, 368, 380, 417, 432, 439, 440, 444, 448, 476, 486, 490]",triangular,40,<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.rmsprop.RMSprop'>,0.00020666487465119382,0.001,,128,True,kaiming_uniform,step,"{'step_size': 20, 'gamma': 0.9}",240125,[1.7501883770370483],[0.68768],[0.5557632063797324],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.68768,1.7501883770370483,0.7618682021753039,0.5557632063797324,,,
19,1024,"[3125, 6250]",1,[0.0999744065519227],"[250, 64, 203, 234, 222, 251, 298, 484, 36, 178, 342, 125, 18, 356, 338, 270, 247, 500, 314, 441, 66, 22, 283, 129, 256, 191, 430, 302, 57, 307, 292, 235, 69, 411, 145, 136, 90, 69, 263, 15, 76, 137, 262, 114, 228, 135]",irregular,46,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.sgd.SGD'>,0.0001338401279754921,0.0001,0.9,1024,False,xavier_uniform,exponential,{'gamma': 0.9},268375,[0.6778746086502075],[0.65792],[0.6765838862914575],[0.7618682021753039],[],[],0.0,0.0,0.0,False,0.65792,0.6778746086502075,0.7618682021753039,0.6765838862914575,,,
18,128,"[3125, 6250, 12500]",2,"[0.0999744065519227, 0.3998976262076908]","[46, 55, 73, 83, 88, 91, 92, 100, 127, 129, 134, 135, 163, 197, 220, 254, 268, 298, 370, 371, 407, 426, 430, 433, 498, 500]",inv_pyramid,26,<class 'torch.nn.modules.activation.Tanh'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.00017090367962379087,1e-05,,128,True,kaiming_normal,cosine,{'T_max': 100},254250,"[0.6549962765693664, 0.6059391089248657]","[0.63552, 0.704]","[0.504880792165672, 0.5480514760514672]","[0.7694177863083813, 0.7596928982725528]",[],[],0.0,0.0,0.0,False,0.704,0.6059391089248657,0.7596928982725528,0.5480514760514672,,,
20,64,"[3125, 6250, 12500]",2,"[0.0999744065519227, 0.3998976262076908]","[10, 19, 61, 81, 89, 101, 107, 113, 119, 158, 176, 184, 217, 221, 229, 243, 280, 296, 309, 323, 335, 359, 390, 404, 496]",triangular,25,<class 'torch.nn.modules.activation.ReLU'>,0.4,<class 'torch.optim.adam.Adam'>,0.0016971976654874522,0.0001,,64,False,xavier_uniform,none,{},282500,"[0.5777010286712646, 0.5596679272079468]","[0.75264, 0.75968]","[0.5542547878132977, 0.5512955819957926]","[0.7618682021753039, 0.7618682021753039]",[],[],0.0,0.0,0.0,False,0.75968,0.5596679272079468,0.7618682021753039,0.5512955819957926,,,
21,512,"[3125, 6250, 12500]",2,"[0.0999744065519227, 0.3998976262076908]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",constant,29,<class 'torch.nn.modules.activation.GELU'>,0.0,<class 'torch.optim.rmsprop.RMSprop'>,0.0002119264966723199,0.0001,,512,True,kaiming_uniform,exponential,{'gamma': 0.9},296625,"[358315.6737178711, 169.90437610351563]","[0.58528, 0.6632]","[409.0093154018839, 110.17066417945476]","[0.7618682021753039, 0.2665387076135637]",[],[],0.0,0.0,0.0,False,0.6632,169.90437610351563,0.2665387076135637,110.17066417945476,,,
22,32,"[3125, 6250, 12500]",2,"[0.0999744065519227, 0.3998976262076908]","[474, 412, 412, 392, 384, 291, 288, 241, 215, 204, 203, 186, 182, 179, 151, 150, 129, 97, 97, 92, 71, 51, 50, 48, 48, 50, 51, 71, 92, 97, 97, 129, 150, 151, 179, 182, 186, 203, 204, 215, 241, 288, 291, 384, 392, 412, 412, 474]",hourglass,47,<class 'torch.nn.modules.activation.Sigmoid'>,0.5,<class 'torch.optim.sgd.SGD'>,0.0005774183923675358,1e-05,0.99,32,True,kaiming_normal,none,{},310750,"[0.7076919904327392, 0.644835754032135]","[0.6592, 0.71888]","[0.8062451498217104, 0.5540959762825237]","[0.7618682021753039, 0.7618682021753039]",[],[],0.0,0.0,0.0,False,0.71888,0.644835754032135,0.7618682021753039,0.5540959762825237,,,
23,32,"[3125, 6250, 12500]",2,"[0.0999744065519227, 0.3998976262076908]","[457, 344, 332, 292, 289, 184, 167, 160, 110, 70, 110, 160, 167, 184, 289, 292, 332, 344, 457]",hourglass,18,<class 'torch.nn.modules.activation.Tanh'>,0.1,<class 'torch.optim.rmsprop.RMSprop'>,0.0030485951183358367,0.001,,32,False,kaiming_normal,none,{},324875,"[1.295990054512024, 0.6506352510643005]","[0.56416, 0.67584]","[0.7094594857895595, 0.677447204306121]","[0.5507357645553423, 0.7618682021753039]",[],[],0.0,0.0,0.0,False,0.67584,0.6506352510643005,0.7618682021753039,0.677447204306121,,,
24,512,"[3125, 6250, 12500]",2,"[0.0999744065519227, 0.3998976262076908]","[492, 365, 310, 293, 195, 103, 26, 20, 20, 26, 103, 195, 293, 310, 365, 492]",hourglass,15,<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.adamw.AdamW'>,0.0057254881489950515,0.0001,,512,True,xavier_uniform,exponential,{'gamma': 0.95},339000,"[1.0021488144111634, 0.6143341214942932]","[0.66848, 0.71488]","[0.7301212163895884, 0.5828866613345961]","[0.2381317978246961, 0.7618682021753039]",[],[],0.0,0.0,0.0,False,0.71488,0.6143341214942932,0.7618682021753039,0.5828866613345961,,,
25,128,"[3125, 6250, 12500]",2,"[0.0999744065519227, 0.3998976262076908]","[113, 113, 113, 113, 113, 113, 113, 113, 113, 113, 113, 113, 113, 113, 113, 113]",constant,16,<class 'torch.nn.modules.activation.Tanh'>,0.1,<class 'torch.optim.adam.Adam'>,0.010041225908012302,0.0001,,128,False,kaiming_normal,step,"{'step_size': 5, 'gamma': 0.5}",353125,"[0.599590395488739, 0.5374130787277221]","[0.68192, 0.7488]","[0.5031238716684392, 0.5757887483177014]","[0.710300703774792, 0.7618682021753039]",[],[],0.0,0.0,0.0,False,0.7488,0.5374130787277221,0.7618682021753039,0.5757887483177014,,,
26,128,"[3125, 6250, 12500]",2,"[0.0999744065519227, 0.3998976262076908]","[18, 21, 22, 28, 33, 37, 74, 82, 89, 108, 122, 123, 124, 129, 129, 133, 154, 171, 181, 211, 219, 222, 232, 254, 255, 262, 263, 283, 285, 300, 307, 344, 347, 349, 352, 365, 389, 397, 415, 420, 429, 433, 456, 457, 479, 479, 486, 494]",inv_pyramid,48,<class 'torch.nn.modules.activation.GELU'>,0.1,<class 'torch.optim.adam.Adam'>,0.034292282432137264,0.0,,128,True,xavier_normal,exponential,{'gamma': 0.99},367250,"[42145833634847.28, 3601397916647.7173]","[0.56512, 0.54368]","[11053442262743.61, 11.58379117870514]","[0.7618682021753039, 0.7618682021753039]",[],[],0.0,0.0,0.0,False,0.54368,3601397916647.7173,0.7618682021753039,11.58379117870514,,,
29,1024,"[3125, 6250, 12500]",2,"[0.0999744065519227, 0.3998976262076908]","[343, 343, 343, 343, 343]",constant,5,<class 'torch.nn.modules.activation.ELU'>,0.4,<class 'torch.optim.rmsprop.RMSprop'>,0.09096159803405246,0.0,,1024,True,kaiming_normal,none,{},409625,"[204050381.79785258, 720622862.65216]","[0.5376, 0.53312]","[1193773654.0949457, 2654717.683141395]","[0.6332693538067818, 0.7618682021753039]",[],[],0.0,0.0,0.0,False,0.53312,720622862.65216,0.7618682021753039,2654717.683141395,,,
30,512,"[3125, 6250, 12500]",2,"[0.0999744065519227, 0.3998976262076908]","[477, 467, 459, 426, 405, 345, 309, 276, 264, 255, 146, 125, 85, 82, 27, 27, 82, 85, 125, 146, 255, 264, 276, 309, 345, 405, 426, 459, 467, 477]",hourglass,29,<class 'torch.nn.modules.activation.ELU'>,0.4,<class 'torch.optim.adam.Adam'>,0.07453802798585066,0.01,,512,True,xavier_normal,step,"{'step_size': 20, 'gamma': 0.1}",423750,"[9577490620.323753, 1671309401.9902525]","[0.5232, 0.65808]","[71132967.21381958, 87233.5654090691]","[0.2381317978246961, 0.7618682021753039]",[],[],0.0,0.0,0.0,False,0.65808,1671309401.9902525,0.7618682021753039,87233.5654090691,,,
31,128,"[3125, 6250, 12500]",2,"[0.0999744065519227, 0.3998976262076908]","[482, 471, 438, 434, 423, 413, 408, 368, 355, 353, 345, 315, 299, 278, 212, 194, 118, 109, 69, 57, 39, 25, 8, 8, 25, 39, 57, 69, 109, 118, 194, 212, 278, 299, 315, 345, 353, 355, 368, 408, 413, 423, 434, 438, 471, 482]",hourglass,45,<class 'torch.nn.modules.activation.ELU'>,0.4,<class 'torch.optim.adamw.AdamW'>,0.00043991669330540906,1e-05,,128,True,kaiming_normal,step,"{'step_size': 20, 'gamma': 0.9}",437875,"[9591.091653125, 985.8360557910156]","[0.65504, 0.6176]","[0.8341038416687373, 0.7114761715810877]","[0.40985284708893155, 0.527831094049904]",[],[],0.0,0.0,0.0,False,0.6176,985.8360557910156,0.527831094049904,0.7114761715810877,,,
