,pipeline,accuracy
1,"Pipeline(steps=[('learner', RandomForestClassifier())])",0.9996
29,"Pipeline(steps=[('feature-pre-processor', PolynomialFeatures()),
                ('learner', RandomForestClassifier())])",0.9996
22,"Pipeline(steps=[('data-pre-processor', VarianceThreshold()),
                ('learner', RandomForestClassifier())])",0.9995
4,"Pipeline(steps=[('learner', DecisionTreeClassifier())])",0.9994
23,"Pipeline(steps=[('feature-pre-processor', FastICA()),
                ('learner', RandomForestClassifier())])",0.9991
28,"Pipeline(steps=[('feature-pre-processor', PCA()),
                ('learner', RandomForestClassifier())])",0.9991
0,"Pipeline(steps=[('learner', ExtraTreesClassifier())])",0.999
17,"Pipeline(steps=[('data-pre-processor', Normalizer()),
                ('learner', RandomForestClassifier())])",0.9988
6,"Pipeline(steps=[('learner', KNeighborsClassifier())])",0.9987
10,"Pipeline(steps=[('learner', SVC())])",0.9971
2,"Pipeline(steps=[('learner', HistGradientBoostingClassifier())])",0.9917
24,"Pipeline(steps=[('feature-pre-processor', FeatureAgglomeration()),
                ('learner', RandomForestClassifier())])",0.9913
9,"Pipeline(steps=[('learner', SVC(kernel='linear'))])",0.9819
13,"Pipeline(steps=[('learner', LogisticRegression())])",0.9696
7,"Pipeline(steps=[('learner', LinearDiscriminantAnalysis())])",0.946
30,"Pipeline(steps=[('feature-pre-processor', SelectPercentile()),
                ('learner', RandomForestClassifier())])",0.9454
31,"Pipeline(steps=[('feature-pre-processor', GenericUnivariateSelect()),
                ('learner', RandomForestClassifier())])",0.9454
11,"Pipeline(steps=[('learner', SVC(kernel='poly'))])",0.9378
3,"Pipeline(steps=[('learner', BernoulliNB())])",0.8962
12,"Pipeline(steps=[('learner', SVC(kernel='sigmoid'))])",0.8706
5,"Pipeline(steps=[('learner', GaussianNB())])",0.7552
8,"Pipeline(steps=[('learner', QuadraticDiscriminantAnalysis())])",0.7269
15,"Pipeline(steps=[('learner', MultinomialNB())])",
16,"Pipeline(steps=[('data-pre-processor', MinMaxScaler()),
                ('learner', RandomForestClassifier())])",
18,"Pipeline(steps=[('data-pre-processor', PowerTransformer()),
                ('learner', RandomForestClassifier())])",
19,"Pipeline(steps=[('data-pre-processor', QuantileTransformer()),
                ('learner', RandomForestClassifier())])",
20,"Pipeline(steps=[('data-pre-processor', RobustScaler()),
                ('learner', RandomForestClassifier())])",
21,"Pipeline(steps=[('data-pre-processor', StandardScaler()),
                ('learner', RandomForestClassifier())])",
25,"Pipeline(steps=[('feature-pre-processor', KernelPCA()),
                ('learner', RandomForestClassifier())])",
26,"Pipeline(steps=[('feature-pre-processor', RBFSampler()),
                ('learner', RandomForestClassifier())])",
27,"Pipeline(steps=[('feature-pre-processor', Nystroem()),
                ('learner', RandomForestClassifier())])",
