id,batch_size,n_instances,epochs_trained,batches_trained,efforts,cumulative_effort,cumulative_times,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_rng_state,train_loss,train_acc,val_loss,val_acc,forecasted_val_acc,score,fcst_greater_than_baseline,wall_times_per_batch,epoch_batches,forecast_horizon_time,forecast_horizon_effort,forecast_CI_low,forecast_CI_high,last_train_acc,last_train_loss,last_val_acc,last_val_loss,total_epoch_time,avg_epoch_time
1,1024,"[128, 179, 250, 350, 489, 684]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[83, 86, 9, 82, 95, 28, 19, 10, 81, 95, 62, 63, 80, 3, 84, 92, 15, 99, 86, 31, 49, 82, 91]",irregular,23,<class 'torch.nn.modules.activation.ReLU'>,0.3,<class 'torch.optim.sgd.SGD'>,0.0283864657546653,0.001,0.9,1024,False,kaiming_normal,step,"{'step_size': 30, 'gamma': 0.9}",None,"[9.410853385925293, 2.633787155151367, 2.590580701828003, 2.5605127811431885, 2.4466803073883057]","[0.09375, 0.11173184216022491, 0.09600000083446503, 0.10000000149011612, 0.10838445276021957]","[2.3145718574523926, 2.3254895210266113, 2.322692632675171, 2.3167293071746826, 2.313768148422241]","[0.1, 0.1, 0.1, 0.1, 0.1]",0.09640966191623986,0.0,False,"[0.011998653411865234, 0.009999513626098633, 0.0070037841796875, 0.008000612258911133, 0.008997440338134766]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.05424276048618747,0.13857656334629223,0.10838445276021957,2.4466803073883057,0.1,2.313768148422241,0.0,0.0
2,512,"[128, 179, 250, 350, 489, 684]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[5, 27, 30, 33, 38, 40, 40, 41, 55, 65, 75, 79, 98, 100]",inv_pyramid,14,<class 'torch.nn.modules.activation.GELU'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.00022491049506993151,0.01,,512,True,xavier_uniform,cosine,{'T_max': 50},None,"[2.305298328399658, 2.3033411502838135, 2.303428888320923, 2.3030126094818115, 2.3028151988983154]","[0.1015625, 0.08938547223806381, 0.09200000762939453, 0.10571428388357162, 0.09815950691699982]","[2.3036301136016846, 2.3035221099853516, 2.303440809249878, 2.3033816814422607, 2.303330659866333]","[0.1, 0.1, 0.1, 0.1, 0.1]",0.09640966191623986,0.0,False,"[0.006000041961669922, 0.004999399185180664, 0.004503965377807617, 0.00599980354309082, 0.004999876022338867]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.05424276048618747,0.13857656334629223,0.09815950691699982,2.3028151988983154,0.1,2.303330659866333,0.0,0.0
3,512,"[128, 179, 250, 350, 489, 684]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[57, 26, 56, 9, 8, 13, 75, 90, 34, 11, 10, 15, 96, 18, 67, 63, 47, 49, 74]",irregular,19,<class 'torch.nn.modules.activation.ELU'>,0.2,<class 'torch.optim.rmsprop.RMSprop'>,0.0065123789538270825,0.0,,512,False,xavier_normal,cosine,{'T_max': 100},None,"[2.324610948562622, 5.158193111419678, 4.6371941566467285, 3.4358513355255127, 3.1380512714385986]","[0.109375, 0.061452511698007584, 0.06400000303983688, 0.07999999821186066, 0.07566461712121964]","[3.8349533081054688, 4.287521839141846, 2.526928186416626, 2.7605457305908203, 2.377418041229248]","[0.1, 0.1, 0.121875, 0.046875, 0.10625]",0.08314960447602247,0.0,False,"[0.007998466491699219, 0.0060024261474609375, 0.006000995635986328, 0.00500035285949707, 0.004997968673706055]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.02800681118596683,0.1382923977660781,0.07566461712121964,3.1380512714385986,0.10625,2.377418041229248,0.0,0.0
4,512,"[128, 179, 250, 350, 489, 684]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[95, 94, 93, 88, 80, 79, 78, 72, 67, 54, 54, 39, 33, 29, 18]",pyramid,15,<class 'torch.nn.modules.activation.ELU'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.00010115663745876392,1e-05,,512,True,xavier_uniform,exponential,{'gamma': 0.9},None,"[2.445652484893799, 2.515238046646118, 2.5037691593170166, 2.5260019302368164, 2.5408923625946045]","[0.140625, 0.14525139331817627, 0.11600000411272049, 0.0714285671710968, 0.10429447889328003]","[2.3135504722595215, 2.3037588596343994, 2.2926013469696045, 2.289341449737549, 2.284198522567749]","[0.1, 0.1, 0.103125, 0.10625, 0.109375]",0.10329058040871704,0.0,False,"[0.006505250930786133, 0.0060002803802490234, 0.007001399993896484, 0.0059986114501953125, 0.00450444221496582]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.06178772914680004,0.14479343167063405,0.10429447889328003,2.5408923625946045,0.109375,2.284198522567749,0.0,0.0
5,512,"[128, 179, 250, 350, 489, 684]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[93, 92, 90, 83, 80, 75, 74, 69, 68, 61, 54, 51, 48, 44, 34, 33, 32, 29, 24, 23, 21, 19, 18, 8, 6]",pyramid,25,<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.rmsprop.RMSprop'>,0.030937497074812127,0.001,,512,True,kaiming_uniform,cosine,{'T_max': 100},None,"[7.332667827606201, 1596822656.0, 21.143991470336914, 15.542014122009277, 2.322066307067871]","[0.1328125, 0.11731842905282974, 0.09600000083446503, 0.10000000149011612, 0.09815950691699982]","[775625216.0, 2.358171224594116, 2.335026502609253, 2.3233284950256348, 2.31730318069458]","[0.1, 0.1, 0.1, 0.1, 0.1]",0.09640966191623986,0.0,False,"[0.009500265121459961, 0.0070040225982666016, 0.009999752044677734, 0.007508754730224609, 0.0070002079010009766]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.05424276048618747,0.13857656334629223,0.09815950691699982,2.322066307067871,0.1,2.31730318069458,0.0,0.0
6,1024,"[128, 179, 250, 350, 489, 684]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[99, 87, 82, 52, 52, 49, 42, 34, 12, 3]",pyramid,10,<class 'torch.nn.modules.activation.GELU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.022166890699637547,0.01,0.95,1024,False,xavier_uniform,exponential,{'gamma': 0.95},None,"[2.3400259017944336, 2.341040849685669, 2.336582899093628, 2.3385190963745117, 2.337908983230591]","[0.1015625, 0.10055865347385406, 0.10000000149011612, 0.10000000149011612, 0.10020449757575989]","[2.339266300201416, 2.3387181758880615, 2.3379387855529785, 2.336930751800537, 2.335733652114868]","[0.1, 0.1, 0.1, 0.1, 0.1]",0.09640966191623986,0.0,False,"[0.004997730255126953, 0.0035114288330078125, 0.0050008296966552734, 0.004003047943115234, 0.004002571105957031]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.05424276048618747,0.13857656334629223,0.10020449757575989,2.337908983230591,0.1,2.335733652114868,0.0,0.0
7,256,"[128, 179, 250, 350, 489, 684]",5,7,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[5, 6, 11, 24, 31, 36, 39, 41, 48, 48, 50, 55, 76, 77, 78, 81, 85, 93]",inv_pyramid,18,<class 'torch.nn.modules.activation.LeakyReLU'>,0.3,<class 'torch.optim.adamw.AdamW'>,0.0015815312297035665,1e-05,,256,False,kaiming_normal,cosine,{'T_max': 50},None,"[7.183807849884033, 5.164148330688477, 3.7269113063812256, 3.0788674354553223, 3.2468349933624268, 2.957857847213745, 2.7779412269592285]","[0.0703125, 0.11173184216022491, 0.09200000762939453, 0.1015625, 0.08510638028383255, 0.09375, 0.09442059695720673]","[2.319390344619751, 2.3113251686096192, 2.3081780910491942, 2.307819366455078, 2.3072064876556397, 2.306608724594116, 2.3055473804473876]","[0.109375, 0.08125, 0.090625, 0.0875, 0.090625, 0.096875, 0.1]",0.0916752977790269,0.0,False,"[0.00800013542175293, 0.006001472473144531, 0.004999399185180664, 0.00699925422668457, 0.004999876022338867, 0.005001068115234375, 0.004502773284912109]","[1, 1, 1, 1, 1, 1, 2, 2, 2, 2]",357,357,0.06450871590258174,0.11884187965547206,0.09442059695720673,2.7779412269592285,0.1,2.3055473804473876,0.0,0.0
8,512,"[128, 179, 250, 350, 489, 684]",5,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[43, 30, 6, 30, 43]",hourglass,4,<class 'torch.nn.modules.activation.ELU'>,0.3,<class 'torch.optim.adamw.AdamW'>,0.013332225454503549,0.0001,,512,False,xavier_normal,exponential,{'gamma': 0.9},None,"[2.436210870742798, 2.2324602603912354, 2.1734867095947266, 2.0066676139831543, 1.9152475595474243]","[0.078125, 0.16201116144657135, 0.20800000429153442, 0.24571427702903748, 0.28016358613967896]","[2.1424264907836914, 1.9761825799942017, 1.823020339012146, 1.6609723567962646, 1.4964573383331299]","[0.275, 0.371875, 0.36875, 0.4375, 0.503125]",0.46111502538018356,0.0,False,"[0.005006551742553711, 0.004997730255126953, 0.00400090217590332, 0.0025022029876708984, 0.003000497817993164]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",255,255,0.3245240023129646,0.5977060484474026,0.28016358613967896,1.9152475595474243,0.503125,1.4964573383331299,0.0,0.0
9,32,"[128, 179, 250, 350, 489, 684]",5,45,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]","[3, 20, 28, 36, 48, 49, 55, 58, 65, 77, 87, 90, 91, 91, 92, 95]",inv_pyramid,16,<class 'torch.nn.modules.activation.GELU'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.005597903939882154,1e-05,,32,False,xavier_uniform,exponential,{'gamma': 0.95},None,"[2.320319890975952, 12.073314666748047, 8.711871147155762, 4.8148627281188965, 3.519026756286621, 2.3891923427581787, 2.9776484966278076, 2.657710552215576, 2.4047627449035645, 2.4393978118896484, 2.298356056213379, 2.687166452407837, 2.3924577236175537, 2.478787660598755, 2.4028658866882324, 2.3184921741485596, 4.04120397567749, 2.31425404548645, 2.513345241546631, 5.307364463806152, 2.3382809162139893, 2.450650930404663, 2.3573708534240723, 2.329956293106079, 2.3381690979003906, 2.326371908187866, 2.3276495933532715, 2.4609851837158203, 2.1868793964385986, 2.283317804336548, 2.3038737773895264, 2.5570173263549805, 2.3326663970947266, 2.818711757659912, 2.3455886840820312, 2.360934019088745, 3.2718310356140137, 2.343851089477539, 2.4152395725250244, 2.2385172843933105, 2.3874683380126953, 2.5874383449554443, 2.2478201389312744, 2.3525307178497314, 2.334264039993286]","[0.0, 0.09375, 0.125, 0.15625, 0.15625, 0.0, 0.0625, 0.0625, 0.0625, 0.05263157933950424, 0.15625, 0.09375, 0.0625, 0.03125, 0.25, 0.0625, 0.15625, 0.11538462340831757, 0.125, 0.0625, 0.125, 0.09375, 0.125, 0.15625, 0.09375, 0.09375, 0.21875, 0.0625, 0.20000001788139343, 0.0625, 0.1875, 0.0625, 0.125, 0.03125, 0.09375, 0.125, 0.0625, 0.125, 0.125, 0.28125, 0.09375, 0.0625, 0.15625, 0.03125, 0.1111111119389534]","[2.318566918373108, 2.3239712476730348, 2.3536074638366697, 2.3134165048599242, 2.3179080486297607, 2.3210883855819704, 2.3160056352615355, 2.3098070859909057, 2.3100204467773438, 2.3084929466247557, 2.3182272911071777, 2.3126420974731445, 2.30924973487854, 2.3053420543670655, 2.309066581726074, 2.312937068939209, 2.30870406627655, 2.316174125671387, 2.3137680768966673, 2.313153862953186, 2.3100035429000854, 2.310402250289917, 2.3109500646591186, 2.309421706199646, 2.3097779989242553, 2.310414981842041, 2.3109890460968017, 2.31144757270813, 2.310408091545105, 2.311748743057251, 2.313027548789978, 2.3154137134552, 2.317664957046509, 2.3207565784454345, 2.3295613527297974, 2.326087737083435, 2.320271301269531, 2.3163541555404663, 2.312706542015076, 2.3135982275009157, 2.3104305028915406, 2.308740758895874, 2.3082549810409545, 2.305897569656372, 2.316304349899292]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",0.10073366779921801,0.0,False,"[0.005998849868774414, 0.006003141403198242, 0.005003213882446289, 0.006002187728881836, 0.00600433349609375, 0.005000591278076172, 0.00400233268737793, 0.00500035285949707, 0.004000663757324219, 0.005998849868774414, 0.004998683929443359, 0.004999876022338867, 0.005001068115234375, 0.00500035285949707, 0.004999637603759766, 0.004001617431640625, 0.0040018558502197266, 0.004506349563598633, 0.005997657775878906, 0.006997823715209961, 0.006021261215209961, 0.005001068115234375, 0.004003286361694336, 0.004508018493652344, 0.0039997100830078125, 0.004999399185180664, 0.003998756408691406, 0.004999637603759766, 0.006001472473144531, 0.003997802734375, 0.005999326705932617, 0.00500178337097168, 0.004998445510864258, 0.0029997825622558594, 0.004001617431640625, 0.005997657775878906, 0.00600123405456543, 0.006004810333251953, 0.0040013790130615234, 0.004506111145019531, 0.004000186920166016, 0.0039997100830078125, 0.004004240036010742, 0.004998922348022461, 0.005004167556762695]","[4, 4, 6, 6, 8, 8, 11, 11, 16, 16]",2295,2295,0.08886951491123207,0.11259782068720395,0.1111111119389534,2.334264039993286,0.1,2.316304349899292,0.0,0.0
10,256,"[128, 179, 250, 350, 489, 684]",5,7,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[7, 45, 75, 85, 28, 42, 8, 10, 20, 17, 76, 41, 92, 19, 78, 37, 30, 31, 51, 90, 14, 59, 44, 63, 28]",irregular,25,<class 'torch.nn.modules.activation.LeakyReLU'>,0.0,<class 'torch.optim.adamw.AdamW'>,0.06097624209513673,1e-06,,256,False,kaiming_uniform,exponential,{'gamma': 0.9},None,"[2.309307813644409, 2561.117431640625, 4.73655366897583, 327.3077392578125, 21.099685668945312, 6.132566452026367, 2.3494527339935303]","[0.1015625, 0.10055865347385406, 0.09200000762939453, 0.10546875, 0.11702127009630203, 0.08984375, 0.11158798635005951]","[2648.075341796875, 4.803069305419922, 324.01567993164065, 23.800426864624022, 5.506471443176269, 2.377871513366699, 5.557276821136474]","[0.1, 0.096875, 0.1, 0.1, 0.1, 0.1, 0.05]",0.08918432114924536,0.0,False,"[0.009544134140014648, 0.009004592895507812, 0.006002902984619141, 0.005507946014404297, 0.005997180938720703, 0.006999969482421875, 0.006002187728881836]","[1, 1, 1, 1, 1, 1, 2, 2, 2, 2]",357,357,0.04413313265529369,0.13423550964319703,0.11158798635005951,2.3494527339935303,0.05,5.557276821136474,0.0,0.0
