id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,forecast_gain,fcst_greater_than_baseline,last_train_acc,last_train_loss,last_val_acc,last_val_loss,slope_val_acc,var_val_acc,gap_val_acc
12,256,"[54, 108, 216]",2,"[0.1, 0.4]","[353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353, 353]",constant,32,<class 'torch.nn.modules.activation.GELU'>,0.3,<class 'torch.optim.adamw.AdamW'>,0.003710190008534766,0.001,,256,True,xavier_uniform,cosine,{'T_max': 10},1104624,"[29352.337890625, 4654.2373046875]","[0.2962962962962963, 0.24074074074074073]","[22.42643928527832, 6.28368616104126]","[0.3382352941176471, 0.20588235294117646]",[],[],0.0,0.20588235294117646,0.0,False,0.24074074074074073,4654.2373046875,0.20588235294117646,6.28368616104126,,,
2,1024,"[54, 108, 216]",2,"[0.1, 0.4]","[90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90, 90]",constant,23,<class 'torch.nn.modules.activation.ELU'>,0.2,<class 'torch.optim.rmsprop.RMSprop'>,0.0023953945215488357,0.0001,,1024,False,xavier_uniform,exponential,{'gamma': 0.99},184104,"[1.3726335763931274, 2.004941940307617]","[0.2777777777777778, 0.25]","[1.8464211225509644, 1.8695210218429565]","[0.38235294117647056, 0.20588235294117646]",[],[],0.0,0.20588235294117646,0.0,False,0.25,2.004941940307617,0.20588235294117646,1.8695210218429565,,,
7,64,"[54, 108, 216]",2,"[0.1, 0.4]","[246, 264, 130, 401]",irregular,4,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0004887869330198902,0.001,0.8,64,False,xavier_uniform,step,"{'step_size': 20, 'gamma': 0.1}",644364,"[1.3877602815628052, 1.3889695847475971]","[0.24074074074074073, 0.25925925925925924]","[1.3999440810259651, 1.399869946872487]","[0.19117647058823528, 0.19117647058823528]",[],[],0.0,0.19117647058823528,0.0,False,0.25925925925925924,1.3889695847475971,0.19117647058823528,1.399869946872487,,,
9,1024,"[54, 108, 216]",2,"[0.1, 0.4]","[43, 52, 65, 87, 90, 90, 90, 92, 133, 138, 147, 154, 164, 173, 184, 186, 194, 197, 242, 260, 273, 278, 291, 293, 309, 332, 337, 343, 351, 354, 395, 397, 411, 415, 427, 441, 463, 490, 493]",triangular,39,<class 'torch.nn.modules.activation.Tanh'>,0.3,<class 'torch.optim.sgd.SGD'>,0.0010045014597709274,1e-05,0.9,1024,False,xavier_normal,step,"{'step_size': 20, 'gamma': 0.5}",828468,"[1.3638933897018433, 1.4005193710327148]","[0.35185185185185186, 0.24074074074074073]","[1.3942338228225708, 1.3942136764526367]","[0.17647058823529413, 0.17647058823529413]",[],[],0.0,0.17647058823529413,0.0,False,0.24074074074074073,1.4005193710327148,0.17647058823529413,1.3942136764526367,,,
8,32,"[54, 108, 216]",2,"[0.1, 0.4]","[493, 492, 427, 406, 380, 379, 365, 319, 263, 213, 160, 139, 133, 112, 96, 40, 34, 26, 15, 15, 9]",pyramid,21,<class 'torch.nn.modules.activation.Tanh'>,0.5,<class 'torch.optim.adam.Adam'>,0.0016583025413297715,0.001,,32,True,xavier_uniform,step,"{'step_size': 30, 'gamma': 0.9}",736416,"[1.466073124497025, 1.4510214417069047]","[0.16666666666666666, 0.3333333333333333]","[1.472729626823874, 1.4662281625411089]","[0.15441176470588236, 0.15441176470588236]",[],[],0.0,0.15441176470588236,0.0,False,0.3333333333333333,1.4510214417069047,0.15441176470588236,1.4662281625411089,,,
30,512,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[434, 434, 434, 434, 434, 434, 434, 434, 434]",constant,9,<class 'torch.nn.modules.activation.ELU'>,0.1,<class 'torch.optim.rmsprop.RMSprop'>,0.00018710694330698228,0.0001,,512,True,xavier_uniform,exponential,{'gamma': 0.99},2761560,"[2.2765793800354004, 6.8410797119140625, 4.532623291015625]","[0.2037037037037037, 0.3148148148148148, 0.5092592592592593]","[7.13841438293457, 6.593643665313721, 2.776798725128174]","[0.27205882352941174, 0.49264705882352944, 0.36764705882352944]",[],[],0.4499398864541553,0.36764705882352944,0.0,False,0.5092592592592593,4.532623291015625,0.36764705882352944,2.776798725128174,0.08689839572192518,0.008157920030757404,-0.014705882352941124
24,256,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499, 499]",constant,34,<class 'torch.nn.modules.activation.Sigmoid'>,0.4,<class 'torch.optim.sgd.SGD'>,0.00028385360624538395,0.0001,0.99,256,True,xavier_normal,step,"{'step_size': 5, 'gamma': 0.9}",2209248,"[1.453251838684082, 1.4846705198287964, 1.4403529167175293]","[0.2037037037037037, 0.1111111111111111, 0.25462962962962965]","[1.3789945840835571, 1.379073143005371, 1.3792299032211304]","[0.33088235294117646, 0.33088235294117646, 0.33088235294117646]",[],[],0.3446050532739945,0.33088235294117646,0.0,False,0.25462962962962965,1.4403529167175293,0.33088235294117646,1.3792299032211304,0.0,0.0,0.0
16,32,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[53, 372, 381, 437]",triangular,4,<class 'torch.nn.modules.activation.ELU'>,0.3,<class 'torch.optim.adamw.AdamW'>,0.08006011395401812,0.0001,,32,True,kaiming_uniform,cosine,{'T_max': 50},1472832,"[75.02558354978208, 298.75054253472223, 266.6433331524884]","[0.24074074074074073, 0.24074074074074073, 0.33796296296296297]","[267.8079044117647, 216.0636650534237, 130.32333369465437]","[0.2426470588235294, 0.4264705882352941, 0.3382352941176471]",[],[],0.4033416524342914,0.32052109359682485,0.0,False,0.33796296296296297,266.6433331524884,0.3382352941176471,130.32333369465437,0.08689839572192515,0.0056348519800076885,0.0036764705882353366
28,128,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[490, 451, 393, 373, 357, 357, 293, 273, 264, 239, 224, 172, 167, 166, 158, 129, 104, 91, 47, 19, 47, 91, 104, 129, 158, 166, 167, 172, 224, 239, 264, 273, 293, 357, 357, 373, 393, 451, 490]",hourglass,38,<class 'torch.nn.modules.activation.Tanh'>,0.2,<class 'torch.optim.rmsprop.RMSprop'>,0.01616538072336277,1e-06,,128,False,xavier_uniform,step,"{'step_size': 10, 'gamma': 0.9}",2577456,"[1.41243314743042, 5.998142719268799, 29.064915833649813]","[0.2222222222222222, 0.19444444444444445, 0.2638888888888889]","[5.998137474060059, 16.43473299811868, 16.803611194386203]","[0.22794117647058823, 0.27205882352941174, 0.3602941176470588]",[],[],0.35570166110297036,0.31000323696859744,0.0,False,0.2638888888888889,29.064915833649813,0.3602941176470588,16.803611194386203,0.12032085561497326,0.003027681660899654,0.11029411764705882
22,512,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[87, 190, 236, 244, 252, 322, 381, 381, 413, 426, 492]",triangular,11,<class 'torch.nn.modules.activation.LeakyReLU'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.0029605576111537478,1e-06,,512,False,xavier_uniform,none,{},2025144,"[1.4394986629486084, 98.7451171875, 2.783874988555908]","[0.2222222222222222, 0.23148148148148148, 0.25]","[27.9521484375, 2.148219108581543, 1.37926185131073]","[0.23529411764705882, 0.33088235294117646, 0.33088235294117646]",[],[],0.3544612833662633,0.29387502670986965,0.0,False,0.25,2.783874988555908,0.33088235294117646,1.37926185131073,0.08689839572192512,0.0020304690503652437,0.04779411764705882
15,32,"[54, 108, 216, 432]",3,"[0.1, 0.4, 1.2000000000000002]","[145, 153, 184, 202, 215, 256, 259, 319, 365, 435, 456, 458, 483, 491]",inv_pyramid,14,<class 'torch.nn.modules.activation.Sigmoid'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.012788987354610308,0.0,,32,False,xavier_normal,none,{},1380780,"[14.581870326289424, 14.597293588850233, 5.350391052387379]","[0.2222222222222222, 0.25925925925925924, 0.2222222222222222]","[28.589796402875116, 8.12158862282248, 3.466594667995677]","[0.21323529411764705, 0.23529411764705882, 0.33088235294117646]",[],[],0.3178579633541782,0.27958406189099283,0.0,False,0.2222222222222222,5.350391052387379,0.33088235294117646,3.466594667995677,0.106951871657754,0.0026071703191080354,0.10661764705882354
